ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0036293	response to decreased oxygen levels	49/963	275/21375	0.178181818181818	3.95497026338148	10.7125164134995	1.14483375953262e-16	1.07120445580867e-13	8.85507498922832e-14	AT3G58670/AT2G31810/AT3G20770/AT3G49780/AT2G26560/AT4G27460/AT4G38470/AT1G15010/AT4G24230/AT1G55810/AT5G20230/AT3G02040/AT2G36220/AT2G43430/AT5G20250/AT5G24530/AT1G69890/AT5G66650/AT1G19530/AT1G26380/AT1G26410/AT4G17230/AT3G30775/AT1G14540/AT4G20380/AT1G10140/AT1G34370/AT3G08720/AT1G03610/AT1G30720/AT3G46230/AT5G12020/AT2G15890/AT5G12030/AT5G64260/AT1G19250/AT5G41080/AT5G42200/AT5G19230/AT5G57510/AT5G26920/AT5G25250/AT3G10020/AT1G68620/AT1G76600/AT2G18670/AT1G66180/AT5G25110/AT1G57630	49
GO:0070482	response to oxygen levels	49/963	276/21375	0.177536231884058	3.94064066097792	10.680186321664	1.3331729381564e-16	1.07120445580867e-13	8.85507498922832e-14	AT3G58670/AT2G31810/AT3G20770/AT3G49780/AT2G26560/AT4G27460/AT4G38470/AT1G15010/AT4G24230/AT1G55810/AT5G20230/AT3G02040/AT2G36220/AT2G43430/AT5G20250/AT5G24530/AT1G69890/AT5G66650/AT1G19530/AT1G26380/AT1G26410/AT4G17230/AT3G30775/AT1G14540/AT4G20380/AT1G10140/AT1G34370/AT3G08720/AT1G03610/AT1G30720/AT3G46230/AT5G12020/AT2G15890/AT5G12030/AT5G64260/AT1G19250/AT5G41080/AT5G42200/AT5G19230/AT5G57510/AT5G26920/AT5G25250/AT3G10020/AT1G68620/AT1G76600/AT2G18670/AT1G66180/AT5G25110/AT1G57630	49
GO:0001666	response to hypoxia	48/963	271/21375	0.177121771217712	3.93144118357071	10.5486457413801	3.01401467866697e-16	1.61450719620594e-13	1.33462685069394e-13	AT3G58670/AT2G31810/AT3G20770/AT3G49780/AT2G26560/AT4G27460/AT4G38470/AT1G15010/AT4G24230/AT1G55810/AT5G20230/AT3G02040/AT2G36220/AT5G20250/AT5G24530/AT1G69890/AT5G66650/AT1G19530/AT1G26380/AT1G26410/AT4G17230/AT3G30775/AT1G14540/AT4G20380/AT1G10140/AT1G34370/AT3G08720/AT1G03610/AT1G30720/AT3G46230/AT5G12020/AT2G15890/AT5G12030/AT5G64260/AT1G19250/AT5G41080/AT5G42200/AT5G19230/AT5G57510/AT5G26920/AT5G25250/AT3G10020/AT1G68620/AT1G76600/AT2G18670/AT1G66180/AT5G25110/AT1G57630	48
GO:0044282	small molecule catabolic process	44/963	241/21375	0.182572614107884	4.05242951874976	10.350863484131	1.68364517202593e-15	5.29109363063231e-13	4.37386444951886e-13	AT3G45300/AT1G03090/AT1G64660/AT5G54080/AT5G18170/AT1G21400/AT5G07440/AT2G43400/AT4G34030/AT2G14170/AT4G33150/AT3G58750/AT3G13450/AT1G55510/AT5G56870/AT3G51840/AT5G65110/AT1G06570/AT5G63810/AT5G27520/AT5G28050/AT2G33150/AT1G79440/AT2G43430/AT3G13750/AT2G19800/AT3G48990/AT5G24530/AT1G08630/AT2G31350/AT3G47800/AT3G07560/AT2G42790/AT3G30775/AT1G48430/AT2G32150/AT5G20710/AT1G21540/AT5G58660/AT3G60510/AT1G14520/AT1G10060/AT3G55840/AT4G26260	44
GO:0071456	cellular response to hypoxia	44/963	241/21375	0.182572614107884	4.05242951874976	10.350863484131	1.68364517202593e-15	5.29109363063231e-13	4.37386444951886e-13	AT3G58670/AT3G49780/AT2G26560/AT4G27460/AT4G38470/AT1G15010/AT4G24230/AT1G55810/AT5G20230/AT3G02040/AT2G36220/AT5G20250/AT5G24530/AT1G69890/AT5G66650/AT1G19530/AT1G26380/AT1G26410/AT4G17230/AT3G30775/AT1G14540/AT1G10140/AT1G34370/AT3G08720/AT1G03610/AT1G30720/AT3G46230/AT5G12020/AT2G15890/AT5G12030/AT5G64260/AT1G19250/AT5G41080/AT5G42200/AT5G19230/AT5G57510/AT5G26920/AT5G25250/AT3G10020/AT1G68620/AT1G76600/AT2G18670/AT1G66180/AT1G57630	44
GO:0036294	cellular response to decreased oxygen levels	44/963	243/21375	0.181069958847737	4.01907618937733	10.2806405552846	2.30477009423934e-15	5.29109363063231e-13	4.37386444951886e-13	AT3G58670/AT3G49780/AT2G26560/AT4G27460/AT4G38470/AT1G15010/AT4G24230/AT1G55810/AT5G20230/AT3G02040/AT2G36220/AT5G20250/AT5G24530/AT1G69890/AT5G66650/AT1G19530/AT1G26380/AT1G26410/AT4G17230/AT3G30775/AT1G14540/AT1G10140/AT1G34370/AT3G08720/AT1G03610/AT1G30720/AT3G46230/AT5G12020/AT2G15890/AT5G12030/AT5G64260/AT1G19250/AT5G41080/AT5G42200/AT5G19230/AT5G57510/AT5G26920/AT5G25250/AT3G10020/AT1G68620/AT1G76600/AT2G18670/AT1G66180/AT1G57630	44
GO:0071453	cellular response to oxygen levels	44/963	243/21375	0.181069958847737	4.01907618937733	10.2806405552846	2.30477009423934e-15	5.29109363063231e-13	4.37386444951886e-13	AT3G58670/AT3G49780/AT2G26560/AT4G27460/AT4G38470/AT1G15010/AT4G24230/AT1G55810/AT5G20230/AT3G02040/AT2G36220/AT5G20250/AT5G24530/AT1G69890/AT5G66650/AT1G19530/AT1G26380/AT1G26410/AT4G17230/AT3G30775/AT1G14540/AT1G10140/AT1G34370/AT3G08720/AT1G03610/AT1G30720/AT3G46230/AT5G12020/AT2G15890/AT5G12030/AT5G64260/AT1G19250/AT5G41080/AT5G42200/AT5G19230/AT5G57510/AT5G26920/AT5G25250/AT3G10020/AT1G68620/AT1G76600/AT2G18670/AT1G66180/AT1G57630	44
GO:0044248	cellular catabolic process	61/963	452/21375	0.134955752212389	2.99551319163014	9.31376142689938	1.65219021561856e-14	3.31883709562378e-12	2.7435053317245e-12	AT3G45300/AT1G03090/AT1G64660/AT5G54080/AT5G18170/AT1G21400/AT5G07440/AT2G43400/AT4G34030/AT2G14170/AT4G33150/AT3G58750/AT3G13450/AT1G55510/AT1G65970/AT1G22740/AT3G51840/AT5G65110/AT1G06570/AT5G43930/AT1G20630/AT5G27520/AT2G33150/AT2G45980/AT1G79440/AT5G04040/AT4G18710/AT3G02040/AT2G43430/AT3G48990/AT5G24530/AT1G08630/AT2G31350/AT2G02930/AT1G20620/AT3G18770/AT1G02920/AT4G15780/AT3G60140/AT3G07560/AT4G16520/AT2G42790/AT4G02520/AT3G30775/AT2G45170/AT4G29380/AT3G15580/AT3G07525/AT3G19190/AT4G04620/AT1G21540/AT3G21370/AT4G30790/AT5G58660/AT3G60510/AT5G41080/AT1G10060/AT1G59870/AT3G55840/AT1G04300/AT1G69930	61
GO:0009620	response to fungus	53/963	379/21375	0.139841688654354	3.10396271545878	8.97640891865281	2.16383280011658e-13	3.86364367754149e-11	3.193867828944e-11	AT1G73260/AT1G53320/AT2G18280/AT1G15010/AT4G24230/AT3G48990/AT5G24530/AT2G01340/AT5G64750/AT1G13960/AT2G38240/AT1G67865/AT4G15330/AT2G19810/AT3G06380/AT1G01470/AT2G42530/AT1G20440/AT5G44585/AT5G43580/AT1G07000/AT3G09030/AT2G33380/AT1G08720/AT1G49050/AT1G51940/AT3G01310/AT3G44860/AT3G51550/AT1G79680/AT3G55970/AT3G07525/AT3G19190/AT5G39580/AT1G25540/AT2G15890/AT5G58600/AT5G05600/AT1G19250/AT3G44326/AT1G66700/AT5G10520/AT5G62900/AT2G43510/AT5G26920/AT5G64120/AT3G10985/AT1G59870/AT1G76600/AT3G50970/AT5G25110/AT1G80840/AT2G30770	53
GO:0014070	response to organic cyclic compound	49/963	361/21375	0.135734072022161	3.0127889818003	8.37742888123699	5.38200289977063e-12	8.64887865993141e-10	7.14956595737952e-10	AT1G15380/AT5G67480/AT1G73260/AT5G08520/AT2G17520/AT1G67070/AT1G22890/AT4G18710/AT4G30270/AT1G14780/AT5G24530/AT1G13960/AT2G42580/AT3G61260/AT5G13330/AT1G78700/AT5G41260/AT1G02860/AT5G10450/AT4G20380/AT1G56300/AT5G56750/AT5G65600/AT2G43570/AT2G33380/AT1G08720/AT3G16570/AT3G61190/AT3G44860/AT3G51550/AT1G79680/AT1G75750/AT4G39070/AT4G28720/AT5G17490/AT1G66700/AT1G22885/AT3G15040/AT1G43160/AT3G20810/AT2G26710/AT1G59870/AT1G67710/AT4G23280/AT5G63160/AT1G65510/AT3G59060/AT1G66180/AT1G80840	49
