ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0046148	pigment biosynthetic process	40/1253	151/21375	0.264900662251656	4.51895583051009	10.8285806763315	3.09312414572306e-16	5.30780103406077e-13	4.33362972416567e-13	AT5G17230/AT1G10657/AT3G22840/AT5G17050/AT2G30390/AT3G21560/AT5G17220/AT4G22880/AT1G30530/AT1G31800/AT4G14090/AT5G57030/AT5G13930/AT2G47460/AT1G70000/AT5G54060/AT5G17040/AT5G54160/AT3G59400/AT4G14690/AT1G03630/AT2G40400/AT5G67030/AT1G44446/AT5G61670/AT5G18660/AT2G26170/AT4G17600/AT3G29590/AT1G78570/AT4G18480/AT1G75040/AT5G44190/AT5G49330/AT5G13630/AT5G40850/AT5G41315/AT5G42800/AT4G09820/AT1G44318	40
GO:0042440	pigment metabolic process	43/1253	190/21375	0.226315789473684	3.86073423782921	9.88377717153581	1.12539642394935e-14	9.6559013174854e-12	7.88369810671885e-12	AT5G17230/AT1G10657/AT3G22840/AT5G17050/AT2G30390/AT3G21560/AT5G17220/AT4G22880/AT1G30530/AT1G31800/AT4G14090/AT5G11260/AT5G57030/AT5G13930/AT2G47460/AT1G70000/AT5G54060/AT5G17040/AT5G54160/AT3G59400/AT4G14690/AT1G03630/AT4G37000/AT2G40400/AT5G67030/AT1G44446/AT5G61670/AT5G18660/AT2G26170/AT4G17600/AT3G29590/AT1G78570/AT4G18480/AT4G27560/AT1G75040/AT5G44190/AT5G49330/AT5G13630/AT5G40850/AT5G41315/AT5G42800/AT4G09820/AT1G44318	43
GO:0009813	flavonoid biosynthetic process	26/1253	83/21375	0.313253012048193	5.3438013827056	9.89426737792106	6.87672317789616e-13	3.9334856577566e-10	3.21155036834379e-10	AT3G55120/AT5G17050/AT5G08640/AT3G21560/AT5G17220/AT4G22880/AT1G30530/AT3G51240/AT5G05270/AT4G14090/AT4G25640/AT5G13930/AT2G47460/AT1G70000/AT5G07990/AT5G54060/AT5G17040/AT5G54160/AT2G26170/AT3G29590/AT1G78570/AT1G75040/AT5G49330/AT5G41315/AT5G42800/AT4G09820	26
GO:0009812	flavonoid metabolic process	29/1253	105/21375	0.276190476190476	4.71154942423897	9.51369049117255	1.17902881064384e-12	5.05803359766206e-10	4.12970354464986e-10	AT3G55120/AT5G17050/AT5G08640/AT3G21560/AT5G17220/AT4G22880/AT1G30530/AT3G51240/AT5G05270/AT4G14090/AT4G25640/AT5G11260/AT5G13930/AT2G47460/AT1G70000/AT5G07990/AT5G54060/AT5G17040/AT5G54160/AT2G26170/AT3G29590/AT1G78570/AT4G27560/AT3G45070/AT1G75040/AT5G49330/AT5G41315/AT5G42800/AT4G09820	29
GO:0016051	carbohydrate biosynthetic process	56/1253	369/21375	0.151761517615176	2.58890857064995	7.68286630607744	5.60946921380782e-11	1.92516983417885e-08	1.57183232075331e-08	AT4G26850/AT3G02870/AT3G01180/AT1G33800/AT3G62410/AT1G64440/AT3G52930/AT1G13440/AT4G15290/AT1G12900/AT3G04120/AT3G21190/AT1G04770/AT3G55800/AT3G04790/AT4G10120/AT3G52340/AT5G41040/AT5G15740/AT3G60750/AT2G32540/AT1G32900/AT5G62220/AT4G17090/AT1G79550/AT2G21330/AT4G20460/AT2G31390/AT2G32530/AT2G45290/AT4G23990/AT5G40390/AT4G38970/AT3G50760/AT5G61420/AT2G14750/AT1G03310/AT2G22190/AT5G10100/AT4G24010/AT5G07720/AT4G17770/AT4G39210/AT5G48850/AT2G15370/AT3G26650/AT5G09870/AT1G71230/AT4G15320/AT1G63450/AT5G67210/AT3G57200/AT5G65140/AT4G09990/AT2G41090/AT3G16000	56
GO:0019748	secondary metabolic process	43/1253	255/21375	0.168627450980392	2.87662551053941	7.52287100014522	3.47562617581072e-10	9.94029086281867e-08	8.11589200000715e-08	AT5G17050/AT1G65060/AT3G21560/AT5G17220/AT4G22880/AT4G36220/AT4G38620/AT4G39330/AT1G33800/AT2G22920/AT3G19450/AT5G13930/AT5G54160/AT2G23000/AT1G28680/AT5G23190/AT2G37040/AT4G32980/AT5G41040/AT4G33790/AT4G01070/AT1G07890/AT1G10370/AT2G29450/AT5G13420/AT5G36180/AT3G44550/AT5G04230/AT1G04220/AT4G34050/AT3G03190/AT2G47730/AT3G43800/AT3G28455/AT5G65640/AT3G17390/AT2G28670/AT1G17180/AT3G21230/AT1G78340/AT1G47400/AT4G09820/AT1G47395	43
GO:0006790	sulfur compound metabolic process	56/1253	390/21375	0.143589743589744	2.44950580146111	7.2090932027312	4.81429356646517e-10	1.18018968000775e-07	9.63582667212802e-08	AT1G62180/AT1G19920/AT3G01120/AT5G17220/AT5G26220/AT1G75270/AT4G04610/AT2G03750/AT4G21990/AT5G17920/AT3G23810/AT2G36880/AT1G04770/AT3G03780/AT3G24170/AT4G19710/AT2G17340/AT3G16410/AT4G33790/AT2G44460/AT3G59760/AT1G10370/AT2G29450/AT3G44550/AT5G61420/AT2G14750/AT4G34200/AT3G59970/AT3G45070/AT4G35640/AT3G03190/AT2G47730/AT5G14200/AT5G49810/AT5G57590/AT3G43800/AT5G48850/AT4G12030/AT3G17390/AT3G16390/AT4G37410/AT3G44320/AT1G17180/AT5G40850/AT4G37400/AT1G13420/AT1G78340/AT1G50110/AT1G68360/AT5G52020/AT4G03070/AT5G60890/AT1G62560/AT4G13770/AT1G74090/AT2G43100	56
GO:0009698	phenylpropanoid metabolic process	29/1253	137/21375	0.211678832116788	3.61104152952622	7.65068146443165	1.26163610502201e-09	2.70620944527222e-07	2.20952323129513e-07	AT5G17050/AT1G65060/AT3G21560/AT4G22880/AT4G36220/AT4G38620/AT4G39330/AT1G33800/AT3G19450/AT5G13930/AT5G54160/AT1G28680/AT5G23190/AT2G37040/AT5G41040/AT4G33790/AT4G01070/AT1G07890/AT5G13420/AT3G44550/AT5G04230/AT1G04220/AT4G34050/AT3G17390/AT2G28670/AT3G21230/AT1G47400/AT4G09820/AT1G47395	29
GO:0009658	chloroplast organization	37/1253	218/21375	0.169724770642202	2.89534475058026	7.0189522227731	4.88456336195144e-09	8.6899035997584e-07	7.09499551667184e-07	AT4G28740/AT4G04850/AT2G46340/AT3G02380/AT5G24660/AT1G44000/AT2G32480/AT5G44650/AT2G37860/AT3G56290/AT5G24120/AT1G74730/AT5G23730/AT5G35220/AT2G40480/AT1G09340/AT5G62440/AT1G04770/AT1G64500/AT1G32080/AT3G52750/AT1G66840/AT5G61670/AT5G62430/AT5G10470/AT5G13770/AT2G26840/AT5G53280/AT1G75100/AT5G08050/AT5G15450/AT1G62750/AT3G51720/AT5G44190/AT5G58140/AT3G54710/AT2G28000	37
GO:0009699	phenylpropanoid biosynthetic process	24/1253	104/21375	0.230769230769231	3.93670575234821	7.49145224583529	5.46610027210498e-09	8.6899035997584e-07	7.09499551667184e-07	AT5G17050/AT4G22880/AT4G36220/AT4G38620/AT4G39330/AT3G19450/AT5G13930/AT5G54160/AT1G28680/AT5G23190/AT2G37040/AT5G41040/AT4G33790/AT4G01070/AT1G07890/AT5G13420/AT3G44550/AT5G04230/AT1G04220/AT4G34050/AT3G17390/AT2G28670/AT3G21230/AT4G09820	24
