ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0046527	glucosyltransferase activity	44/1660	228/26753	0.192982456140351	3.11015641513422	8.23019744763486	1.47569476205964e-11	8.95746720570204e-09	7.53381010104134e-09	AT4G26850/AT5G17050/AT3G21560/AT3G01180/AT2G22590/AT1G30530/AT2G16890/AT4G15480/AT4G14090/AT2G36870/AT2G36800/AT5G54060/AT4G15290/AT2G31750/AT5G17040/AT2G18800/AT2G31790/AT4G10120/AT4G13410/AT1G65310/AT4G01070/AT3G44990/AT4G30290/AT2G32540/AT1G32900/AT2G30150/AT2G32530/AT4G27560/AT4G23990/AT3G02230/AT3G46720/AT3G21760/AT4G24010/AT2G43840/AT2G36970/AT5G09870/AT4G15320/AT2G14620/AT2G22930/AT3G46670/AT5G48070/AT4G37800/AT3G29630/AT1G05530	44
GO:0005507	copper ion binding	38/1660	193/26753	0.196891191709845	3.17315063362257	7.79310142643807	1.93343722853536e-10	5.86798198860481e-08	4.93535292547183e-08	AT1G30510/AT1G48030/AT5G21100/AT3G62410/AT5G17920/AT3G52930/AT1G13440/AT4G10040/AT3G04120/AT2G36880/AT1G36390/AT3G55010/AT1G53240/AT4G26780/AT4G14940/AT3G09820/AT1G41830/AT4G25240/AT4G37160/AT1G61570/AT5G03300/AT1G79530/AT1G67090/AT3G09200/AT1G14980/AT5G61030/AT5G50370/AT1G66200/AT4G05400/AT1G35720/AT3G23940/AT5G07130/AT3G15020/AT5G20720/AT5G01050/AT3G23990/AT2G33210/AT5G58910	38
GO:0035251	UDP-glucosyltransferase activity	35/1660	181/26753	0.193370165745856	3.11640484590295	7.34821392808715	1.64642532499621e-09	2.75777021932639e-07	2.31946337704552e-07	AT4G26850/AT5G17050/AT3G21560/AT3G01180/AT2G22590/AT1G30530/AT2G16890/AT4G15480/AT4G14090/AT2G36800/AT5G54060/AT4G15290/AT2G31750/AT5G17040/AT2G31790/AT4G10120/AT4G01070/AT2G32540/AT1G32900/AT2G30150/AT2G32530/AT4G27560/AT4G23990/AT3G02230/AT3G46720/AT3G21760/AT4G24010/AT2G43840/AT2G36970/AT5G09870/AT4G15320/AT2G22930/AT3G46670/AT3G29630/AT1G05530	35
GO:0016758	hexosyltransferase activity	58/1660	402/26753	0.144278606965174	2.32523227237307	6.88592610777692	1.81731151191196e-09	2.75777021932639e-07	2.31946337704552e-07	AT4G26850/AT5G17050/AT3G21560/AT3G01180/AT2G22590/AT1G30530/AT2G16890/AT4G15480/AT4G14090/AT2G36870/AT5G03760/AT3G06510/AT2G36800/AT2G32430/AT5G54060/AT4G15290/AT2G31750/AT5G17040/AT2G18800/AT3G21190/AT2G31790/AT4G10120/AT4G13410/AT1G65310/AT4G01070/AT3G44990/AT4G30290/AT2G32540/AT1G32900/AT5G62220/AT2G30150/AT2G32530/AT4G27560/AT4G23990/AT5G40390/AT3G02230/AT1G27120/AT3G46720/AT3G21760/AT3G50760/AT4G24010/AT5G07720/AT2G43840/AT2G36970/AT2G11810/AT2G15370/AT5G09870/AT3G27540/AT4G15320/AT2G14620/AT2G22930/AT3G46670/AT5G48070/AT4G37800/AT5G41460/AT4G23490/AT3G29630/AT1G05530	58
GO:0046906	tetrapyrrole binding	55/1660	403/26753	0.136476426799007	2.19949026876738	6.24043438069177	3.37728799061726e-08	4.10002762060936e-06	3.44838879041973e-06	AT1G17100/AT3G48320/AT2G34060/AT2G21970/AT4G36220/AT3G20110/AT4G12310/AT4G37310/AT5G59920/AT3G20100/AT2G29090/AT2G37970/AT3G27690/AT4G11290/AT1G44575/AT5G07990/AT4G10040/AT3G48310/AT3G59400/AT2G05100/AT2G46660/AT1G66540/AT5G23190/AT3G44970/AT5G25120/AT3G48280/AT4G08390/AT2G26170/AT4G20240/AT4G12320/AT2G15620/AT2G32720/AT1G07890/AT5G25130/AT3G26320/AT2G34490/AT2G43480/AT4G16270/AT1G01600/AT5G08250/AT1G01190/AT4G37410/AT1G68850/AT4G39510/AT2G25160/AT4G35970/AT5G48000/AT4G37400/AT4G15393/AT2G30890/AT3G10570/AT5G40150/AT4G13770/AT3G49960/AT5G58390	55
GO:0008194	UDP-glycosyltransferase activity	42/1660	288/26753	0.145833333333333	2.35028865461847	5.925742724368	2.25822131856826e-07	2.12412516031397e-05	1.78652684080859e-05	AT4G26850/AT5G17050/AT3G21560/AT3G01180/AT2G22590/AT1G30530/AT2G16890/AT4G15480/AT4G14090/AT2G36800/AT5G54060/AT4G15290/AT2G31750/AT5G17040/AT2G31790/AT4G10120/AT1G01390/AT5G15740/AT4G01070/AT2G32540/AT1G32900/AT2G30150/AT2G32530/AT4G27560/AT4G23990/AT3G02230/AT3G46720/AT3G21760/AT3G50760/AT4G24010/AT2G43840/AT2G36970/AT2G11810/AT5G09870/AT3G27540/AT4G15320/AT2G22930/AT3G46670/AT5G41460/AT4G23490/AT3G29630/AT1G05530	42
GO:0020037	heme binding	50/1660	373/26753	0.134048257372654	2.16035724668109	5.80449735667982	2.44956773018085e-07	2.12412516031397e-05	1.78652684080859e-05	AT1G17100/AT3G48320/AT2G34060/AT4G36220/AT3G20110/AT4G12310/AT4G37310/AT5G59920/AT3G20100/AT2G29090/AT2G37970/AT4G11290/AT5G07990/AT4G10040/AT3G48310/AT2G46660/AT1G66540/AT5G23190/AT3G44970/AT5G25120/AT3G48280/AT4G08390/AT2G26170/AT4G20240/AT4G12320/AT2G15620/AT2G32720/AT1G07890/AT5G25130/AT3G26320/AT2G34490/AT2G43480/AT4G16270/AT1G01600/AT5G08250/AT1G01190/AT4G37410/AT1G68850/AT4G39510/AT2G25160/AT4G35970/AT5G48000/AT4G37400/AT4G15393/AT2G30890/AT3G10570/AT5G40150/AT4G13770/AT3G49960/AT5G58390	50
GO:0044183	protein folding chaperone	17/1660	67/26753	0.253731343283582	4.0892015824492	6.51175103501497	4.76677430336639e-07	3.61679000267925e-05	3.04195465412197e-05	AT3G09440/AT5G56010/AT5G49910/AT2G30695/AT1G23100/AT5G56030/AT5G02490/AT5G56500/AT1G14980/AT5G09590/AT4G37910/AT4G29520/AT5G20720/AT3G13470/AT3G23990/AT2G33210/AT2G28000	17
GO:0003735	structural constituent of ribosome	44/1660	334/26753	0.131736526946108	2.12310078637905	5.31238639618456	2.02063207871753e-06	0.000136280407975727	0.000114620650079298	AT3G04770/AT3G16780/AT3G55280/AT3G56020/AT4G10450/AT5G15520/AT3G53430/AT5G67510/AT3G05560/AT3G16080/AT3G11250/AT2G01250/AT5G45590/AT1G09590/AT3G49010/AT2G20450/AT1G64880/AT4G30800/AT3G55750/AT4G15000/AT1G26880/AT5G02870/AT2G36620/AT3G05590/AT1G59359/AT3G06680/AT3G09200/AT1G70600/AT4G23620/AT1G41880/AT4G31700/AT5G27330/AT4G37660/AT3G11510/AT1G18540/AT5G61170/AT2G32220/AT2G40010/AT1G17560/AT1G61580/AT1G77940/AT4G34555/AT3G09680/AT3G17170	44
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	52/1660	432/26753	0.12037037037037	1.93992079428826	5.0656807623704	3.82263801233554e-06	0.000232034127348768	0.000195155730103446	AT4G27030/AT3G48320/AT5G08640/AT4G22880/AT5G24150/AT5G05580/AT4G36220/AT1G31800/AT3G20110/AT3G51240/AT4G12310/AT4G37310/AT3G20100/AT5G57030/AT2G29090/AT5G07990/AT3G48310/AT2G19590/AT2G46660/AT5G67030/AT1G66540/AT5G23190/AT3G44970/AT5G25120/AT1G04350/AT3G48280/AT2G26170/AT5G24155/AT4G20240/AT4G12320/AT1G80340/AT5G25130/AT3G26320/AT2G34490/AT5G07800/AT1G01600/AT5G08250/AT1G01190/AT4G37410/AT1G78440/AT4G39510/AT1G43800/AT2G25160/AT5G48000/AT4G37400/AT1G80320/AT4G15393/AT5G51310/AT4G03070/AT3G10570/AT1G62560/AT4G13770	52
GO:0016829	lyase activity	44/1660	346/26753	0.127167630057803	2.04946723309423	5.05362809939907	5.13199115284477e-06	0.000283192602706979	0.000238183321447819	AT5G59750/AT2G30390/AT5G26220/AT5G15950/AT5G59770/AT5G01410/AT4G28680/AT3G52930/AT3G14940/AT3G52720/AT3G44310/AT5G24850/AT2G37040/AT1G12370/AT1G74030/AT2G21330/AT1G78570/AT3G54470/AT1G36280/AT3G28760/AT2G20340/AT1G48850/AT4G38970/AT5G04230/AT4G24670/AT3G14540/AT5G01330/AT3G54600/AT3G32030/AT4G24780/AT3G09540/AT2G47590/AT3G27400/AT5G22300/AT5G55720/AT3G44320/AT3G23940/AT3G53190/AT4G33070/AT1G34040/AT1G72970/AT1G34060/AT1G44318/AT2G43100	44
GO:0016853	isomerase activity	35/1660	254/26753	0.137795275590551	2.22074518546627	5.02785812616299	8.08995947924839e-06	0.000409217116991981	0.000344178100652234	AT3G55120/AT4G39800/AT5G05270/AT1G64440/AT5G57030/AT1G63000/AT3G29200/AT1G74070/AT3G04790/AT1G09780/AT3G12340/AT3G56070/AT1G64770/AT5G42150/AT4G38740/AT2G30695/AT4G20460/AT1G03055/AT1G18870/AT3G02230/AT1G23190/AT1G78050/AT3G25230/AT4G34870/AT3G54960/AT3G57150/AT3G61610/AT4G14440/AT2G22240/AT4G02850/AT4G25340/AT5G48010/AT5G10170/AT3G19440/AT1G04980	35
GO:0005198	structural molecule activity	56/1660	492/26753	0.113821138211382	1.83437163287296	4.80443509359497	8.99734940919798e-06	0.000420107007029475	0.000353337203519111	AT1G51060/AT3G04770/AT3G16780/AT3G53650/AT5G59970/AT3G55280/AT3G56020/AT1G26770/AT4G10450/AT5G15520/AT3G53430/AT5G59870/AT5G67510/AT3G05560/AT3G16080/AT3G11250/AT3G20670/AT3G53750/AT2G01250/AT5G45590/AT1G09590/AT3G49010/AT2G20450/AT1G64880/AT4G30800/AT3G55750/AT4G15000/AT1G26880/AT5G02870/AT2G36620/AT5G65360/AT3G05590/AT1G59359/AT3G06680/AT3G09200/AT1G70600/AT4G23620/AT2G38810/AT1G41880/AT4G31700/AT5G27330/AT1G07790/AT4G37660/AT3G11510/AT1G18540/AT5G61170/AT2G32220/AT5G41780/AT2G40010/AT1G17560/AT1G61580/AT1G77940/AT3G12110/AT4G34555/AT3G09680/AT3G17170	56
GO:0019187	beta-1,4-mannosyltransferase activity	9/1660	27/26753	0.333333333333333	5.37208835341365	5.84601208026069	2.24952467067525e-05	0.000910307650066583	0.000765627694931575	AT5G03760/AT4G15290/AT3G21190/AT4G13410/AT2G32540/AT2G32530/AT4G23990/AT4G24010/AT4G15320	9
