ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0071456	cellular response to hypoxia	59/703	241/21375	0.244813278008299	7.44364696646854	18.5514869407501	1.2296593600644e-34	9.94323688934681e-32	8.24702931273024e-32	AT2G26560/AT5G20230/AT1G69890/AT3G30775/AT3G02040/AT1G13260/AT4G24230/AT5G41080/AT1G15010/AT1G26380/AT5G20250/AT1G73500/AT4G38470/AT5G26920/AT1G07135/AT1G30720/AT5G25250/AT1G76650/AT2G15890/AT1G55810/AT1G14540/AT1G25560/AT1G19530/AT1G26410/AT1G27730/AT4G17230/AT5G57220/AT5G66650/AT5G27420/AT2G36220/AT3G08720/AT5G24530/AT1G72360/AT4G27460/AT1G76600/AT3G13310/AT5G64905/AT2G41430/AT3G49780/AT5G57510/AT2G25735/AT1G03610/AT1G19020/AT4G12720/AT1G07150/AT5G19230/AT3G56400/AT1G14550/AT1G61340/AT3G10020/AT1G30040/AT2G18670/AT4G20860/AT5G64260/AT1G66180/AT5G59820/AT3G03670/AT4G01250/AT1G32928	59
GO:0036294	cellular response to decreased oxygen levels	59/703	243/21375	0.242798353909465	7.38238238238238	18.4520648738528	2.02098310759081e-34	9.94323688934681e-32	8.24702931273024e-32	AT2G26560/AT5G20230/AT1G69890/AT3G30775/AT3G02040/AT1G13260/AT4G24230/AT5G41080/AT1G15010/AT1G26380/AT5G20250/AT1G73500/AT4G38470/AT5G26920/AT1G07135/AT1G30720/AT5G25250/AT1G76650/AT2G15890/AT1G55810/AT1G14540/AT1G25560/AT1G19530/AT1G26410/AT1G27730/AT4G17230/AT5G57220/AT5G66650/AT5G27420/AT2G36220/AT3G08720/AT5G24530/AT1G72360/AT4G27460/AT1G76600/AT3G13310/AT5G64905/AT2G41430/AT3G49780/AT5G57510/AT2G25735/AT1G03610/AT1G19020/AT4G12720/AT1G07150/AT5G19230/AT3G56400/AT1G14550/AT1G61340/AT3G10020/AT1G30040/AT2G18670/AT4G20860/AT5G64260/AT1G66180/AT5G59820/AT3G03670/AT4G01250/AT1G32928	59
GO:0071453	cellular response to oxygen levels	59/703	243/21375	0.242798353909465	7.38238238238238	18.4520648738528	2.02098310759081e-34	9.94323688934681e-32	8.24702931273024e-32	AT2G26560/AT5G20230/AT1G69890/AT3G30775/AT3G02040/AT1G13260/AT4G24230/AT5G41080/AT1G15010/AT1G26380/AT5G20250/AT1G73500/AT4G38470/AT5G26920/AT1G07135/AT1G30720/AT5G25250/AT1G76650/AT2G15890/AT1G55810/AT1G14540/AT1G25560/AT1G19530/AT1G26410/AT1G27730/AT4G17230/AT5G57220/AT5G66650/AT5G27420/AT2G36220/AT3G08720/AT5G24530/AT1G72360/AT4G27460/AT1G76600/AT3G13310/AT5G64905/AT2G41430/AT3G49780/AT5G57510/AT2G25735/AT1G03610/AT1G19020/AT4G12720/AT1G07150/AT5G19230/AT3G56400/AT1G14550/AT1G61340/AT3G10020/AT1G30040/AT2G18670/AT4G20860/AT5G64260/AT1G66180/AT5G59820/AT3G03670/AT4G01250/AT1G32928	59
GO:0001666	response to hypoxia	61/703	271/21375	0.225092250922509	6.84402114291413	17.8543215378423	1.52983274042286e-33	5.64508281216036e-31	4.6820933608205e-31	AT2G26560/AT5G20230/AT1G69890/AT2G31810/AT3G30775/AT3G02040/AT1G13260/AT4G24230/AT5G41080/AT1G15010/AT1G26380/AT5G20250/AT1G73500/AT4G38470/AT5G26920/AT1G07135/AT1G30720/AT5G25250/AT1G76650/AT2G15890/AT1G55810/AT1G14540/AT1G25560/AT1G19530/AT1G26410/AT1G27730/AT4G17230/AT5G57220/AT5G66650/AT5G27420/AT2G36220/AT3G08720/AT5G24530/AT1G72360/AT4G27460/AT1G76600/AT3G13310/AT5G64905/AT2G41430/AT3G49780/AT5G57510/AT2G25735/AT1G03610/AT1G19020/AT4G12720/AT1G07150/AT1G72330/AT5G19230/AT3G56400/AT1G14550/AT1G61340/AT3G10020/AT1G30040/AT2G18670/AT4G20860/AT5G64260/AT1G66180/AT5G59820/AT3G03670/AT4G01250/AT1G32928	61
GO:0036293	response to decreased oxygen levels	61/703	275/21375	0.221818181818182	6.74447174447175	17.6809067533264	3.71848571524041e-33	1.09769698313897e-30	9.10441870910441e-31	AT2G26560/AT5G20230/AT1G69890/AT2G31810/AT3G30775/AT3G02040/AT1G13260/AT4G24230/AT5G41080/AT1G15010/AT1G26380/AT5G20250/AT1G73500/AT4G38470/AT5G26920/AT1G07135/AT1G30720/AT5G25250/AT1G76650/AT2G15890/AT1G55810/AT1G14540/AT1G25560/AT1G19530/AT1G26410/AT1G27730/AT4G17230/AT5G57220/AT5G66650/AT5G27420/AT2G36220/AT3G08720/AT5G24530/AT1G72360/AT4G27460/AT1G76600/AT3G13310/AT5G64905/AT2G41430/AT3G49780/AT5G57510/AT2G25735/AT1G03610/AT1G19020/AT4G12720/AT1G07150/AT1G72330/AT5G19230/AT3G56400/AT1G14550/AT1G61340/AT3G10020/AT1G30040/AT2G18670/AT4G20860/AT5G64260/AT1G66180/AT5G59820/AT3G03670/AT4G01250/AT1G32928	61
GO:0070482	response to oxygen levels	61/703	276/21375	0.221014492753623	6.72003525264395	17.6380929610324	4.63089875020222e-33	1.13920109254975e-30	9.44865832716699e-31	AT2G26560/AT5G20230/AT1G69890/AT2G31810/AT3G30775/AT3G02040/AT1G13260/AT4G24230/AT5G41080/AT1G15010/AT1G26380/AT5G20250/AT1G73500/AT4G38470/AT5G26920/AT1G07135/AT1G30720/AT5G25250/AT1G76650/AT2G15890/AT1G55810/AT1G14540/AT1G25560/AT1G19530/AT1G26410/AT1G27730/AT4G17230/AT5G57220/AT5G66650/AT5G27420/AT2G36220/AT3G08720/AT5G24530/AT1G72360/AT4G27460/AT1G76600/AT3G13310/AT5G64905/AT2G41430/AT3G49780/AT5G57510/AT2G25735/AT1G03610/AT1G19020/AT4G12720/AT1G07150/AT1G72330/AT5G19230/AT3G56400/AT1G14550/AT1G61340/AT3G10020/AT1G30040/AT2G18670/AT4G20860/AT5G64260/AT1G66180/AT5G59820/AT3G03670/AT4G01250/AT1G32928	61
GO:0006979	response to oxidative stress	58/703	464/21375	0.125	3.80067567567568	11.2477000352411	1.90535537809498e-18	4.01757791152598e-16	3.33222301462324e-16	AT5G67480/AT5G20230/AT3G57520/AT1G15380/AT3G30775/AT2G41730/AT1G20630/AT1G72060/AT4G35770/AT3G60980/AT1G35580/AT1G09940/AT2G19810/AT4G23810/AT5G20250/AT4G17490/AT3G20340/AT3G14990/AT3G02840/AT5G52310/AT5G56550/AT4G02380/AT2G22080/AT5G63160/AT1G73260/AT5G05300/AT1G14540/AT4G31510/AT4G20830/AT1G60740/AT1G27730/AT4G11170/AT1G14870/AT3G10985/AT1G02930/AT1G20620/AT4G11850/AT5G64100/AT5G54500/AT5G54810/AT1G19020/AT5G39580/AT4G12720/AT3G28580/AT4G37520/AT3G56400/AT4G23190/AT1G14550/AT1G78410/AT5G24890/AT3G10020/AT1G09080/AT1G65970/AT2G41480/AT5G59820/AT3G03670/AT5G21940/AT1G52200	58
GO:0044282	small molecule catabolic process	41/703	241/21375	0.170124481327801	5.17270382415611	12.0133615178292	3.89358894651003e-18	7.18367160631101e-16	5.95821571683049e-16	AT3G45300/AT1G03090/AT4G39660/AT5G07440/AT3G58750/AT2G14170/AT3G22200/AT5G18170/AT3G13450/AT1G21400/AT4G26260/AT4G34030/AT5G43430/AT2G43400/AT5G63810/AT2G19800/AT5G54080/AT5G28050/AT5G65110/AT3G47800/AT1G55510/AT4G33150/AT3G30775/AT1G64660/AT5G27520/AT1G08630/AT1G79440/AT1G21540/AT1G76150/AT1G06570/AT5G56870/AT2G33150/AT3G51840/AT3G13750/AT2G02010/AT5G24530/AT1G72330/AT3G55840/AT1G30040/AT5G58660/AT4G20860	41
GO:0016054	organic acid catabolic process	33/703	165/21375	0.2	6.08108108108108	12.0825076817676	5.16787158715707e-17	7.62777846264384e-15	6.32656279564598e-15	AT3G45300/AT1G03090/AT4G39660/AT5G07440/AT3G58750/AT2G14170/AT3G22200/AT5G18170/AT3G13450/AT1G21400/AT4G34030/AT5G43430/AT2G43400/AT5G54080/AT5G65110/AT1G55510/AT4G33150/AT3G30775/AT1G64660/AT5G27520/AT1G08630/AT1G79440/AT1G21540/AT1G76150/AT1G06570/AT2G33150/AT3G51840/AT2G02010/AT5G24530/AT1G72330/AT3G55840/AT1G30040/AT5G58660	33
GO:0046395	carboxylic acid catabolic process	33/703	165/21375	0.2	6.08108108108108	12.0825076817676	5.16787158715707e-17	7.62777846264384e-15	6.32656279564598e-15	AT3G45300/AT1G03090/AT4G39660/AT5G07440/AT3G58750/AT2G14170/AT3G22200/AT5G18170/AT3G13450/AT1G21400/AT4G34030/AT5G43430/AT2G43400/AT5G54080/AT5G65110/AT1G55510/AT4G33150/AT3G30775/AT1G64660/AT5G27520/AT1G08630/AT1G79440/AT1G21540/AT1G76150/AT1G06570/AT2G33150/AT3G51840/AT2G02010/AT5G24530/AT1G72330/AT3G55840/AT1G30040/AT5G58660	33
