ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0015979	photosynthesis	43/1120	229/21375	0.187772925764192	3.58361275733001	9.24308267616172	2.30905106989214e-13	3.4635766048382e-10	2.83891752593054e-10	AT4G04850/AT1G15980/AT1G77090/AT5G49740/AT5G24120/AT1G67840/AT2G21970/AT3G01440/AT3G16250/AT2G05100/AT3G62410/AT1G64860/AT1G54780/AT5G57030/AT1G19150/AT1G68830/AT3G27690/AT5G35220/AT5G44650/AT3G27925/AT2G05070/AT5G02120/AT3G11670/AT1G67740/AT1G55480/AT4G04020/AT1G16720/AT4G31390/AT1G64770/AT1G12900/AT1G32060/AT4G09650/AT1G14150/AT2G01590/AT3G60750/AT2G05620/AT1G15820/AT5G08720/AT5G57050/AT3G01500/AT1G20950/AT2G45290/AT3G04790	43
GO:0019748	secondary metabolic process	44/1120	255/21375	0.172549019607843	3.29306722689076	8.66215021340884	2.54931054793674e-12	1.91198291095256e-09	1.56715511578427e-09	AT2G22920/AT5G48930/AT4G36220/AT4G39330/AT2G29450/AT5G17050/AT4G32980/AT5G23190/AT5G41040/AT4G01070/AT1G04220/AT3G21560/AT2G40890/AT4G38620/AT1G33800/AT1G65060/AT2G23000/AT5G13580/AT3G11670/AT3G19450/AT5G54160/AT5G17220/AT4G33790/AT1G59700/AT5G36180/AT5G13930/AT4G12910/AT5G16600/AT1G47400/AT1G51680/AT1G47395/AT1G10360/AT1G15950/AT4G23690/AT1G10370/AT3G44550/AT1G64670/AT3G21230/AT1G32100/AT1G78320/AT3G44540/AT3G03190/AT1G73290/AT3G28455	44
GO:0071214	cellular response to abiotic stimulus	39/1120	214/21375	0.182242990654206	3.47807493324433	8.56720221472298	7.90962599198616e-12	2.89678233365475e-09	2.37434509874298e-09	AT4G04850/AT3G17609/AT2G46340/AT1G58520/AT5G24120/AT2G21320/AT2G21970/AT5G43630/AT3G28270/AT5G13170/AT3G22840/AT2G05100/AT2G46790/AT3G44450/AT3G52740/AT1G64860/AT2G37970/AT1G32080/AT1G75100/AT2G42690/AT3G27690/AT2G05070/AT5G57345/AT2G20180/AT5G11260/AT4G38740/AT3G21150/AT2G32010/AT1G05200/AT4G14690/AT1G07180/AT5G58140/AT3G45680/AT1G79410/AT2G05620/AT2G01830/AT1G02340/AT2G34620/AT5G04190	39
GO:0104004	cellular response to environmental stimulus	39/1120	214/21375	0.182242990654206	3.47807493324433	8.56720221472298	7.90962599198616e-12	2.89678233365475e-09	2.37434509874298e-09	AT4G04850/AT3G17609/AT2G46340/AT1G58520/AT5G24120/AT2G21320/AT2G21970/AT5G43630/AT3G28270/AT5G13170/AT3G22840/AT2G05100/AT2G46790/AT3G44450/AT3G52740/AT1G64860/AT2G37970/AT1G32080/AT1G75100/AT2G42690/AT3G27690/AT2G05070/AT5G57345/AT2G20180/AT5G11260/AT4G38740/AT3G21150/AT2G32010/AT1G05200/AT4G14690/AT1G07180/AT5G58140/AT3G45680/AT1G79410/AT2G05620/AT2G01830/AT1G02340/AT2G34620/AT5G04190	39
GO:0046148	pigment biosynthetic process	32/1120	151/21375	0.211920529801325	4.04446546830653	8.82819053373331	9.65594111218249e-12	2.89678233365475e-09	2.37434509874298e-09	AT5G17230/AT5G61670/AT2G30390/AT5G67030/AT3G22840/AT4G17880/AT5G17050/AT1G30530/AT5G57030/AT5G44190/AT3G59400/AT3G21560/AT2G26170/AT1G44446/AT1G70000/AT5G54160/AT5G17220/AT2G40400/AT4G31390/AT5G13930/AT2G20570/AT2G20180/AT4G14690/AT1G10657/AT1G03630/AT2G47460/AT5G13630/AT4G14090/AT1G78570/AT5G49330/AT5G63590/AT4G25700	32
GO:0042440	pigment metabolic process	36/1120	190/21375	0.189473684210526	3.61607142857143	8.51722174282428	1.57046495350245e-11	3.35472975650798e-09	2.74970130217636e-09	AT5G17230/AT5G61670/AT2G30390/AT5G67030/AT3G22840/AT4G17880/AT5G17050/AT1G30530/AT5G57030/AT5G44190/AT3G59400/AT3G21560/AT2G26170/AT4G37000/AT1G44446/AT1G70000/AT5G54160/AT5G17220/AT2G40400/AT4G31390/AT5G13930/AT2G20570/AT2G20180/AT5G11260/AT1G19670/AT4G14690/AT1G10657/AT1G03630/AT2G47460/AT5G47990/AT5G13630/AT4G14090/AT1G78570/AT5G49330/AT5G63590/AT4G25700	36
GO:0009639	response to red or far red light	42/1120	249/21375	0.168674698795181	3.2191265060241	8.28245121968734	1.71461758142937e-11	3.35472975650798e-09	2.74970130217636e-09	AT3G17609/AT3G15354/AT2G46340/AT5G61670/AT4G00050/AT5G24120/AT2G21320/AT1G06040/AT2G31380/AT5G67030/AT3G22840/AT1G73870/AT2G05100/AT2G46790/AT1G53090/AT2G37970/AT4G32980/AT4G38960/AT4G38860/AT1G69530/AT5G23060/AT3G27690/AT4G34550/AT2G05070/AT3G59780/AT5G44110/AT1G79600/AT4G31390/AT2G37640/AT2G20180/AT2G29090/AT5G11260/AT4G38740/AT3G21150/AT4G14690/AT5G61270/AT1G10370/AT5G16023/AT2G44910/AT1G02340/AT5G39860/AT5G04190	42
GO:0009698	phenylpropanoid metabolic process	30/1120	137/21375	0.218978102189781	4.17915797705944	8.77811719301876	1.78918920347092e-11	3.35472975650798e-09	2.74970130217636e-09	AT5G48930/AT4G36220/AT4G39330/AT5G17050/AT5G23190/AT5G41040/AT4G01070/AT1G04220/AT3G21560/AT2G40890/AT4G38620/AT1G33800/AT1G65060/AT5G13580/AT3G11670/AT3G19450/AT5G54160/AT4G33790/AT5G13930/AT5G16600/AT1G47400/AT1G51680/AT1G47395/AT1G15950/AT4G23690/AT3G44550/AT1G64670/AT3G21230/AT1G32100/AT3G44540	30
GO:0009812	flavonoid metabolic process	26/1120	105/21375	0.247619047619048	4.72576530612245	8.99937168289534	2.11141088108202e-11	3.51901813513669e-09	2.88436012760678e-09	AT5G48930/AT4G17880/AT5G17050/AT1G30530/AT3G55120/AT3G21560/AT2G26170/AT2G40890/AT5G08640/AT4G25640/AT1G70000/AT3G51240/AT5G54160/AT5G05270/AT5G17220/AT4G31390/AT5G13930/AT5G11260/AT3G45070/AT2G47460/AT5G47990/AT4G14090/AT1G78570/AT5G49330/AT5G63590/AT5G07990	26
GO:0009813	flavonoid biosynthetic process	23/1120	83/21375	0.27710843373494	5.28856497418244	9.20510192811523	2.51444948471128e-11	3.77167422706692e-09	3.09144947172924e-09	AT5G48930/AT4G17880/AT5G17050/AT1G30530/AT3G55120/AT3G21560/AT2G26170/AT2G40890/AT5G08640/AT4G25640/AT1G70000/AT3G51240/AT5G54160/AT5G05270/AT5G17220/AT4G31390/AT5G13930/AT2G47460/AT4G14090/AT1G78570/AT5G49330/AT5G63590/AT5G07990	23
