ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0042651	thylakoid membrane	65/1542	388/26907	0.167525773195876	2.92322696457941	9.40842989036208	5.89075651024412e-15	6.51768894393789e-13	6.00797969854518e-13	AT4G09350/AT2G29650/AT4G04850/AT1G14345/AT4G37925/AT1G15980/AT1G77090/AT2G23670/AT2G21970/AT5G58870/AT2G30390/AT3G01440/AT3G22840/AT3G16250/AT2G42975/AT2G05100/AT1G71480/AT5G58260/AT1G54780/AT1G16880/AT4G22240/AT1G19150/AT3G17930/AT1G68830/AT2G39730/AT5G23060/AT3G27690/AT1G74730/AT5G44650/AT3G27925/AT4G27700/AT5G42070/AT2G05070/AT1G44446/AT2G22360/AT5G02120/AT1G67740/AT1G55480/AT4G04020/AT1G44575/AT5G52780/AT1G16720/AT1G50020/AT2G21530/AT1G64770/AT1G32060/AT5G42310/AT4G09650/AT5G43750/AT4G14690/AT4G28660/AT5G21430/AT1G14150/AT1G03630/AT2G01590/AT3G47070/AT1G52230/AT5G17170/AT2G05620/AT1G15820/AT3G01500/AT3G12345/AT3G04790/AT3G23840/AT2G25625	65
GO:0031976	plastid thylakoid	71/1542	452/26907	0.157079646017699	2.7409481422816	9.20344649574479	9.76435242736684e-15	6.51768894393789e-13	6.00797969854518e-13	AT4G09350/AT2G29650/AT4G04850/AT1G14345/AT4G37925/AT1G15980/AT1G77090/AT2G23670/AT2G21970/AT5G58870/AT2G30390/AT3G01440/AT3G22840/AT3G16250/AT2G42975/AT2G05100/AT1G71480/AT5G58260/AT1G54780/AT1G16880/AT4G22240/AT1G19150/AT3G17930/AT2G39730/AT5G23060/AT3G27690/AT1G74730/AT5G44650/AT3G27925/AT4G27700/AT5G42070/AT2G05070/AT2G22360/AT5G02120/AT1G67740/AT4G33010/AT3G59780/AT1G55480/AT4G04020/AT5G64290/AT1G44575/AT5G52780/AT1G50020/AT2G21530/AT1G64770/AT2G21330/AT1G32060/AT4G09650/AT5G43750/AT1G11860/AT4G14690/AT3G02730/AT1G64680/AT4G28660/AT5G38520/AT5G21430/AT5G12860/AT1G14150/AT1G03630/AT2G01590/AT3G47070/AT4G32770/AT1G52230/AT5G17170/AT2G05620/AT1G15820/AT3G01500/AT3G12345/AT3G04790/AT3G23840/AT2G25625	71
GO:0034357	photosynthetic membrane	65/1542	393/26907	0.165394402035623	2.88603578182394	9.28662480267231	1.1046930413454e-14	6.51768894393789e-13	6.00797969854518e-13	AT4G09350/AT2G29650/AT4G04850/AT1G14345/AT4G37925/AT1G15980/AT1G77090/AT2G23670/AT2G21970/AT5G58870/AT2G30390/AT3G01440/AT3G22840/AT3G16250/AT2G42975/AT2G05100/AT1G71480/AT5G58260/AT1G54780/AT1G16880/AT4G22240/AT1G19150/AT3G17930/AT1G68830/AT2G39730/AT5G23060/AT3G27690/AT1G74730/AT5G44650/AT3G27925/AT4G27700/AT5G42070/AT2G05070/AT1G44446/AT2G22360/AT5G02120/AT1G67740/AT1G55480/AT4G04020/AT1G44575/AT5G52780/AT1G16720/AT1G50020/AT2G21530/AT1G64770/AT1G32060/AT5G42310/AT4G09650/AT5G43750/AT4G14690/AT4G28660/AT5G21430/AT1G14150/AT1G03630/AT2G01590/AT3G47070/AT1G52230/AT5G17170/AT2G05620/AT1G15820/AT3G01500/AT3G12345/AT3G04790/AT3G23840/AT2G25625	65
GO:0009534	chloroplast thylakoid	70/1542	446/26907	0.15695067264574	2.7386976322172	9.1293044008508	1.57347337284449e-14	6.96261967483688e-13	6.41811507344464e-13	AT4G09350/AT2G29650/AT4G04850/AT1G14345/AT4G37925/AT1G15980/AT1G77090/AT2G23670/AT2G21970/AT5G58870/AT3G01440/AT3G22840/AT3G16250/AT2G42975/AT2G05100/AT1G71480/AT5G58260/AT1G54780/AT1G16880/AT4G22240/AT1G19150/AT3G17930/AT2G39730/AT5G23060/AT3G27690/AT1G74730/AT5G44650/AT3G27925/AT4G27700/AT5G42070/AT2G05070/AT2G22360/AT5G02120/AT1G67740/AT4G33010/AT3G59780/AT1G55480/AT4G04020/AT5G64290/AT1G44575/AT5G52780/AT1G50020/AT2G21530/AT1G64770/AT2G21330/AT1G32060/AT4G09650/AT5G43750/AT1G11860/AT4G14690/AT3G02730/AT1G64680/AT4G28660/AT5G38520/AT5G21430/AT5G12860/AT1G14150/AT1G03630/AT2G01590/AT3G47070/AT4G32770/AT1G52230/AT5G17170/AT2G05620/AT1G15820/AT3G01500/AT3G12345/AT3G04790/AT3G23840/AT2G25625	70
GO:0042170	plastid membrane	73/1542	492/26907	0.148373983739837	2.58903941665876	8.77084096796121	8.07774067581576e-14	2.44103045176815e-12	2.25013214406222e-12	AT4G09350/AT4G27030/AT2G29650/AT4G04850/AT1G14345/AT4G37925/AT1G15980/AT2G23670/AT2G21970/AT5G58870/AT2G30390/AT5G19500/AT2G47490/AT3G01440/AT2G32480/AT3G22840/AT3G16250/AT2G42975/AT2G05100/AT1G71480/AT5G58260/AT1G54780/AT1G16880/AT4G22240/AT1G32080/AT1G19150/AT3G06510/AT3G17930/AT2G39730/AT5G23060/AT3G27690/AT1G74730/AT5G44650/AT3G27925/AT4G27700/AT5G42070/AT2G05070/AT1G44446/AT2G22360/AT5G02120/AT3G11670/AT1G67740/AT1G55480/AT4G04020/AT1G44575/AT5G52780/AT1G16720/AT1G50020/AT2G21530/AT1G64770/AT1G32060/AT4G09650/AT5G43750/AT5G53280/AT4G14690/AT4G28660/AT5G21430/AT1G14150/AT1G03630/AT2G01590/AT3G47070/AT4G32770/AT1G52230/AT5G17170/AT2G05620/AT1G15820/AT3G01500/AT3G12345/AT5G13630/AT3G04790/AT3G23840/AT2G25625/AT5G20410	73
GO:0055035	plastid thylakoid membrane	60/1542	360/26907	0.166666666666667	2.90823605706874	8.98721115812314	8.27467949751915e-14	2.44103045176815e-12	2.25013214406222e-12	AT4G09350/AT2G29650/AT4G04850/AT1G14345/AT4G37925/AT1G15980/AT2G23670/AT2G21970/AT5G58870/AT2G30390/AT3G01440/AT3G22840/AT3G16250/AT2G42975/AT2G05100/AT1G71480/AT5G58260/AT1G54780/AT1G16880/AT4G22240/AT1G19150/AT3G17930/AT2G39730/AT5G23060/AT3G27690/AT1G74730/AT5G44650/AT3G27925/AT4G27700/AT5G42070/AT2G05070/AT2G22360/AT5G02120/AT1G67740/AT1G55480/AT4G04020/AT1G44575/AT5G52780/AT1G50020/AT2G21530/AT1G64770/AT1G32060/AT4G09650/AT5G43750/AT4G14690/AT4G28660/AT5G21430/AT1G14150/AT1G03630/AT2G01590/AT3G47070/AT1G52230/AT5G17170/AT2G05620/AT1G15820/AT3G01500/AT3G12345/AT3G04790/AT3G23840/AT2G25625	60
GO:0009535	chloroplast thylakoid membrane	59/1542	352/26907	0.167613636363636	2.92476012557481	8.96239569425496	1.03551099975926e-13	2.61836352796271e-12	2.41359706710806e-12	AT4G09350/AT2G29650/AT4G04850/AT1G14345/AT4G37925/AT1G15980/AT2G23670/AT2G21970/AT5G58870/AT3G01440/AT3G22840/AT3G16250/AT2G42975/AT2G05100/AT1G71480/AT5G58260/AT1G54780/AT1G16880/AT4G22240/AT1G19150/AT3G17930/AT2G39730/AT5G23060/AT3G27690/AT1G74730/AT5G44650/AT3G27925/AT4G27700/AT5G42070/AT2G05070/AT2G22360/AT5G02120/AT1G67740/AT1G55480/AT4G04020/AT1G44575/AT5G52780/AT1G50020/AT2G21530/AT1G64770/AT1G32060/AT4G09650/AT5G43750/AT4G14690/AT4G28660/AT5G21430/AT1G14150/AT1G03630/AT2G01590/AT3G47070/AT1G52230/AT5G17170/AT2G05620/AT1G15820/AT3G01500/AT3G12345/AT3G04790/AT3G23840/AT2G25625	59
GO:0019867	outer membrane	65/1542	472/26907	0.13771186440678	2.40299165732375	7.58203444311868	5.22464612819955e-11	1.02751373854591e-09	9.4715807002448e-10	AT4G09350/AT2G29650/AT4G04850/AT1G14345/AT4G37925/AT1G15980/AT2G23670/AT2G21970/AT5G58870/AT3G01440/AT3G22840/AT3G16250/AT2G42975/AT2G05100/AT1G71480/AT5G58260/AT1G54780/AT1G16880/AT4G22240/AT1G19150/AT3G06510/AT3G17930/AT2G39730/AT5G23060/AT3G27690/AT1G74730/AT5G44650/AT3G27925/AT4G27700/AT5G42070/AT2G05070/AT2G22360/AT5G02120/AT3G11670/AT1G67740/AT1G55480/AT4G04020/AT1G44575/AT5G52780/AT1G50020/AT2G21530/AT1G64770/AT1G32060/AT4G09650/AT5G43750/AT5G53280/AT4G14690/AT4G28660/AT5G21430/AT1G14150/AT1G03630/AT2G01590/AT3G47070/AT1G52230/AT5G17170/AT2G05620/AT1G15820/AT3G01500/AT3G12345/AT3G04790/AT3G23840/AT5G43070/AT5G51720/AT2G25625/AT5G20410	65
GO:0031968	organelle outer membrane	65/1542	472/26907	0.13771186440678	2.40299165732375	7.58203444311868	5.22464612819955e-11	1.02751373854591e-09	9.4715807002448e-10	AT4G09350/AT2G29650/AT4G04850/AT1G14345/AT4G37925/AT1G15980/AT2G23670/AT2G21970/AT5G58870/AT3G01440/AT3G22840/AT3G16250/AT2G42975/AT2G05100/AT1G71480/AT5G58260/AT1G54780/AT1G16880/AT4G22240/AT1G19150/AT3G06510/AT3G17930/AT2G39730/AT5G23060/AT3G27690/AT1G74730/AT5G44650/AT3G27925/AT4G27700/AT5G42070/AT2G05070/AT2G22360/AT5G02120/AT3G11670/AT1G67740/AT1G55480/AT4G04020/AT1G44575/AT5G52780/AT1G50020/AT2G21530/AT1G64770/AT1G32060/AT4G09650/AT5G43750/AT5G53280/AT4G14690/AT4G28660/AT5G21430/AT1G14150/AT1G03630/AT2G01590/AT3G47070/AT1G52230/AT5G17170/AT2G05620/AT1G15820/AT3G01500/AT3G12345/AT3G04790/AT3G23840/AT5G43070/AT5G51720/AT2G25625/AT5G20410	65
GO:0010598	NAD(P)H dehydrogenase complex (plastoquinone)	9/1542	13/26907	0.692307692307692	12.0803651601317	9.85252104991327	3.77833785881779e-09	6.68765801010749e-08	6.16465650649219e-08	AT4G09350/AT4G37925/AT1G15980/AT3G16250/AT5G58260/AT1G64770/AT5G21430/AT2G01590/AT5G39210	9
