ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0046906	tetrapyrrole binding	68/1535	403/26753	0.168734491315136	2.94081683788524	9.68553828673172	1.00874544619326e-15	5.55818740852489e-13	4.78888627613855e-13	AT3G48310/AT5G59920/AT3G48320/AT2G34060/AT3G48280/AT2G21970/AT4G37310/AT4G12310/AT1G66540/AT2G46660/AT1G13080/AT1G17100/AT4G36220/AT5G42590/AT2G34490/AT2G05100/AT3G44970/AT2G37970/AT5G23190/AT4G12320/AT2G23180/AT4G11290/AT3G26310/AT3G59400/AT3G27690/AT2G26170/AT2G40890/AT1G64900/AT1G13090/AT4G20240/AT2G05070/AT5G25120/AT1G44575/AT5G25130/AT5G48000/AT3G20100/AT5G42580/AT2G25160/AT2G29090/AT1G64950/AT3G26290/AT4G10040/AT2G39040/AT4G37410/AT1G01190/AT1G68850/AT5G47990/AT1G15820/AT3G19270/AT2G47770/AT3G48290/AT2G15620/AT1G44970/AT3G26320/AT4G12330/AT4G39510/AT4G16270/AT2G28860/AT5G47000/AT4G35090/AT5G08250/AT5G07990/AT3G10570/AT4G37400/AT5G38970/AT5G04660/AT3G28740/AT5G14130	68
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	67/1535	432/26753	0.155092592592593	2.7030567619737	8.80433991735949	1.08842058586001e-13	2.35918036686103e-11	2.0326494325233e-11	AT4G27030/AT5G24150/AT3G48310/AT3G48320/AT3G48280/AT4G37310/AT4G12310/AT1G66540/AT2G46660/AT1G04350/AT1G13080/AT5G24155/AT5G67030/AT4G36220/AT5G42590/AT2G34490/AT5G05580/AT3G44970/AT5G57030/AT5G23190/AT4G12320/AT2G23180/AT3G26310/AT2G26170/AT2G40890/AT1G64900/AT5G08640/AT4G03070/AT1G13090/AT4G20240/AT3G51240/AT5G25120/AT5G25130/AT5G48000/AT3G20100/AT5G42580/AT2G25160/AT2G29090/AT1G64950/AT3G26290/AT1G14120/AT1G43800/AT4G37410/AT1G01190/AT5G07800/AT5G47990/AT3G19270/AT1G62540/AT2G19590/AT3G48290/AT3G26320/AT4G12330/AT4G39510/AT4G37760/AT2G28860/AT5G63590/AT5G08250/AT1G80320/AT5G07990/AT3G10570/AT4G37400/AT5G38970/AT5G04660/AT3G28740/AT4G13260/AT1G04610/AT1G78440	67
GO:0020037	heme binding	61/1535	373/26753	0.163538873994638	2.85026416676127	8.87825789056608	1.28449021789167e-13	2.35918036686103e-11	2.0326494325233e-11	AT3G48310/AT5G59920/AT3G48320/AT2G34060/AT3G48280/AT4G37310/AT4G12310/AT1G66540/AT2G46660/AT1G13080/AT1G17100/AT4G36220/AT5G42590/AT2G34490/AT3G44970/AT2G37970/AT5G23190/AT4G12320/AT2G23180/AT4G11290/AT3G26310/AT2G26170/AT2G40890/AT1G64900/AT1G13090/AT4G20240/AT5G25120/AT5G25130/AT5G48000/AT3G20100/AT5G42580/AT2G25160/AT2G29090/AT1G64950/AT3G26290/AT4G10040/AT2G39040/AT4G37410/AT1G01190/AT1G68850/AT5G47990/AT3G19270/AT2G47770/AT3G48290/AT2G15620/AT1G44970/AT3G26320/AT4G12330/AT4G39510/AT4G16270/AT2G28860/AT5G47000/AT4G35090/AT5G08250/AT5G07990/AT3G10570/AT4G37400/AT5G38970/AT5G04660/AT3G28740/AT5G14130	61
GO:0005506	iron ion binding	55/1535	342/26753	0.160818713450292	2.80285540126102	8.27863096135506	4.07642023692513e-12	5.61526887636437e-10	4.83806717592956e-10	AT3G48310/AT3G48320/AT3G48280/AT4G37310/AT4G12310/AT1G66540/AT2G46660/AT1G13080/AT4G36220/AT5G42590/AT2G34490/AT3G44970/AT5G23190/AT4G12320/AT2G23180/AT3G26310/AT2G26170/AT2G40890/AT1G64900/AT1G13090/AT1G03055/AT4G20240/AT1G44446/AT2G22360/AT5G25120/AT5G25130/AT5G48000/AT3G20100/AT5G42580/AT2G25160/AT2G29090/AT1G14700/AT1G64680/AT1G64950/AT2G42750/AT3G26290/AT4G37410/AT1G01190/AT5G17170/AT5G47990/AT3G19270/AT3G11050/AT3G48290/AT3G26320/AT4G12330/AT4G39510/AT2G28860/AT5G08250/AT5G07990/AT3G10570/AT4G37400/AT5G38970/AT5G04660/AT3G28740/AT4G25700	55
GO:0016758	hexosyltransferase activity	55/1535	402/26753	0.13681592039801	2.38451877420714	6.90065511987453	2.09153340090778e-09	2.30486980780038e-07	1.98585592380928e-07	AT4G26850/AT5G62220/AT3G01180/AT2G36870/AT5G03760/AT2G36800/AT1G05170/AT4G30290/AT5G17050/AT4G15290/AT1G30530/AT3G06510/AT4G01070/AT2G32530/AT1G65310/AT3G21560/AT3G46670/AT2G32540/AT4G15550/AT2G18800/AT2G31750/AT4G10120/AT3G11670/AT2G16890/AT4G37800/AT2G30150/AT1G27120/AT3G27540/AT2G31790/AT2G32430/AT3G21760/AT3G03690/AT5G28910/AT5G40390/AT1G32900/AT2G22590/AT3G21190/AT4G15480/AT3G44990/AT2G37090/AT1G05560/AT3G29630/AT2G15370/AT5G38010/AT2G22930/AT4G33330/AT4G14090/AT5G26310/AT2G43840/AT2G36970/AT4G23990/AT2G29750/AT2G47180/AT5G09870/AT5G20410	55
GO:0046527	glucosyltransferase activity	38/1535	228/26753	0.166666666666667	2.90477741585233	7.12624842430494	3.00762408994356e-09	2.7620014559315e-07	2.3797166044992e-07	AT4G26850/AT3G01180/AT2G36870/AT2G36800/AT4G30290/AT5G17050/AT4G15290/AT1G30530/AT4G01070/AT2G32530/AT1G65310/AT3G21560/AT3G46670/AT2G32540/AT4G15550/AT2G18800/AT2G31750/AT4G10120/AT2G16890/AT4G37800/AT2G30150/AT2G31790/AT3G21760/AT1G32900/AT2G22590/AT4G15480/AT3G44990/AT1G05560/AT3G29630/AT5G38010/AT2G22930/AT4G14090/AT5G26310/AT2G43840/AT2G36970/AT4G23990/AT2G29750/AT5G09870	38
GO:0035251	UDP-glucosyltransferase activity	32/1535	181/26753	0.176795580110497	3.08131084996491	6.93172159403101	1.21368732282735e-08	9.55345306968382e-07	8.23117267060351e-07	AT4G26850/AT3G01180/AT2G36800/AT5G17050/AT4G15290/AT1G30530/AT4G01070/AT2G32530/AT3G21560/AT3G46670/AT2G32540/AT4G15550/AT2G31750/AT4G10120/AT2G16890/AT2G30150/AT2G31790/AT3G21760/AT1G32900/AT2G22590/AT4G15480/AT1G05560/AT3G29630/AT5G38010/AT2G22930/AT4G14090/AT5G26310/AT2G43840/AT2G36970/AT4G23990/AT2G29750/AT5G09870	32
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	25/1535	133/26753	0.18796992481203	3.27606475472068	6.49207317360837	1.3709383482538e-07	9.44233787359803e-06	8.13543677713767e-06	AT5G24150/AT4G37310/AT5G24155/AT3G26310/AT2G40890/AT1G64900/AT3G20100/AT5G42580/AT2G29090/AT1G64950/AT3G26290/AT4G37410/AT5G07800/AT5G47990/AT3G19270/AT1G62540/AT3G26320/AT4G37760/AT5G07990/AT3G10570/AT4G37400/AT5G04660/AT3G28740/AT4G13260/AT1G04610	25
GO:0008194	UDP-glycosyltransferase activity	40/1535	288/26753	0.138888888888889	2.42064784654361	5.98031044975889	2.1302573516212e-07	1.30419088971476e-05	1.12367960886686e-05	AT4G26850/AT3G01180/AT2G36800/AT5G17050/AT4G15290/AT1G30530/AT4G01070/AT2G32530/AT3G21560/AT3G46670/AT2G32540/AT4G15550/AT2G31750/AT4G10120/AT3G11670/AT2G16890/AT2G30150/AT3G27540/AT2G31790/AT3G21760/AT3G03690/AT1G01390/AT1G32900/AT2G22590/AT4G15480/AT2G37090/AT1G05560/AT3G29630/AT5G38010/AT2G22930/AT4G33330/AT4G14090/AT5G26310/AT2G43840/AT2G36970/AT4G23990/AT2G29750/AT2G47180/AT5G09870/AT5G20410	40
GO:0004497	monooxygenase activity	37/1535	260/26753	0.142307692307692	2.48023302430469	5.91736271622184	3.25722769980237e-07	1.7947324625911e-05	1.54632599222197e-05	AT2G24820/AT5G24150/AT4G37310/AT1G66540/AT5G24155/AT5G67030/AT4G36220/AT3G44970/AT3G26310/AT2G40890/AT1G64900/AT4G20240/AT1G44446/AT5G48000/AT3G20100/AT5G42580/AT2G25160/AT2G29090/AT1G64950/AT3G26290/AT4G37410/AT5G07800/AT5G47990/AT3G19270/AT1G62540/AT2G19590/AT3G26320/AT4G37760/AT5G07990/AT3G10570/AT4G37400/AT5G38970/AT5G04660/AT3G28740/AT4G13260/AT1G04610/AT4G25700	37
