"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT3G45300",698.149633352917,-3.69708696646599,0.31377330924457,-11.7826687533333,4.79504349650032e-32,1.98946354669798e-28,"AT3G45300","ATIVD;IVD;IVDH","Encodes isovaleryl-coenzyme a dehydrogenase.  Mutants have increases in 12 seed free amino acids, accumulation of seed homomethionine and 3-isovaleroyloxypropyl-glucosinolate, with a concomitant decrease in seed 3-benzoyloxypropyl-glucosinolate."
"AT1G03090",1469.56341701514,-4.09866484008281,0.440359936944105,-9.30753344304127,1.30835318828602e-20,2.36975692463739e-17,"AT1G03090","MCCA","MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion."
"AT3G59350",722.255149007892,-3.8563247424923,0.414543604157388,-9.30257927952059,1.37079214729567e-20,2.36975692463739e-17,"AT3G59350","CARK5;MAZ",NA
"AT1G64660",383.304111380857,-3.7308465234043,0.410120143614531,-9.09695995549756,9.28955900445803e-20,1.30391697363791e-16,"AT1G64660","ATMGL;MGL","Encodes a functional methionine gamma-lyase, a cytosolic enzyme catalyzes the degradation of methionine into methanethiol, alpha-ketobutyrate and ammonia. The catabolism of excess methionine is important to methionine homeostasis."
"AT3G06850",689.670102050721,-3.31702238313222,0.372716021266616,-8.89959699574987,5.60498276649052e-19,6.83972749946152e-16,"AT3G06850","BCE2;DIN3;LTA1","dihydrolipoamide branched chain acyltransferase"
"AT5G57655",1694.95046917139,-3.4593781476541,0.394998158197044,-8.75796019769892,1.98815342929679e-18,2.06221214453809e-15,"AT5G57655",NA,NA
"AT5G54080",474.506852149349,-3.10914625902684,0.359037430720227,-8.65967164701996,4.73125114278774e-18,4.08957520654716e-15,"AT5G54080","AtHGO;HGO","homogentisate 1,2-dioxygenase"
"AT5G42900",105.77095994089,-5.95799826889494,0.693735617159878,-8.58828366530569,8.8278100097494e-18,7.04357379431735e-15,"AT5G42900","COR27",NA
"AT5G14780",1228.25683399646,-2.59038609924684,0.306585684406071,-8.44914238009852,2.9345042342507e-17,1.90238407311034e-14,"AT5G14780","AtFDH1;FDH","Encodes a NAD-dependent formate dehydrogenase."
"AT1G07040",289.181074988769,-2.82272884471659,0.340996709489107,-8.2778770767193,1.25390564040781e-16,7.03034392169188e-14,"AT1G07040",NA,NA
"AT3G25190",156.08793495622,-1.45752556084045,0.17713279646505,-8.2284342026296,1.89676442808674e-16,1.01813045270102e-13,"AT3G25190","AtVTL5;VTL5",NA
"AT5G18170",1034.84432291829,-2.66519597291786,0.330328855055971,-8.06831111519539,7.12772308598517e-16,3.08051282122421e-13,"AT5G18170","GDH1","Encodes the 43 kDa alpha-subunit of the glutamate dehydrogenase with a putative mitochondrial transit polypeptide and NAD(H)- and alpha-ketoglutarate-binding domains. Mitochondrial localization confirmed by subcellular fractionation. Combines in several ratios with GDH2 protein (GDH-beta) to form seven isoenzymes. Catalyzes the cleavage of glycine residues. May be involved in ammonia assimilation under conditions of inorganic nitrogen excess. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells."
"AT1G54100",1125.73079313759,-2.68614396170557,0.341467242892367,-7.86647626563777,3.6476989251311e-15,1.4013243370712e-12,"AT1G54100","ALDH7B4","Aldehyde dehydrogenase"
"AT3G10740",944.485809511542,-1.31546190450822,0.167369086885036,-7.8596467782118,3.85218188109929e-15,1.45297296588009e-12,"AT3G10740","ARAF;ARAF1;ASD1;ATASD1","Encodes a bifunctional alpha-l-arabinofuranosidase/beta-d-xylosidase that belongs to family 51 of glycoside hydrolases.  It may be involved in cell wall modification."
"AT1G21400",1191.57162056773,-4.23492256629246,0.544509422410444,-7.77750097977226,7.39711971976248e-15,2.60090251841479e-12,"AT1G21400","E1A1",NA
"AT5G06370",253.503192317494,-1.24747634276854,0.164049122490246,-7.60428537399044,2.86482472096821e-14,9.14319828253624e-12,"AT5G06370","PSE1",NA
"AT5G07440",3312.21516056647,-2.69057157015604,0.355626056856293,-7.56573237051438,3.85685391204398e-14,1.212279309172e-11,"AT5G07440","GDH2","Encodes the beta-subunit of the glutamate dehydrogenase. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells.;Encodes the alpha-subunit of the glutamate dehydrogenase. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells."
"AT2G43400",378.192842022507,-2.56692804068897,0.341255884261793,-7.52200374871708,5.39430373565734e-14,1.67022135815241e-11,"AT2G43400","ETFQO","Encodes a unique electron-transfer flavoprotein:ubiquinone oxidoreductase that is localized to the mitochondrion. Mutants are more sensitive to sugar starvation when plants are kept in the dark for long periods."
"AT4G34030",807.386954957778,-2.7768497530261,0.371110541493934,-7.48254075954749,7.28992739180001e-14,2.16042205346987e-11,"AT4G34030","MCCB","MCC-B is involved in leucine degradation in mitochondria. The active protein is a dimer of MCC-A and MCC-B. MCC-A is biotinylated whereas MCC-B is not."
"AT1G29395",499.597755703739,-2.67640335130628,0.358826783203581,-7.45876137620366,8.73396192086297e-14,2.46378055460165e-11,"AT1G29395","COR413-TM1;COR413IM1;COR414-TM1;DEG25","Integral membrane protein in the inner  envelope of chloroplasts. Provide  freezing tolerance. Expression is induced by short-term cold-treatment, water deprivation, and abscisic acid treatment."
"AT2G42890",281.182323331318,-2.20060510285987,0.299522291271704,-7.34704950845762,2.02629830833866e-13,5.2544448008107e-11,"AT2G42890","AML2;ML2","A member of mei2-like gene family, predominantly plant-based family of genes encoding RNA binding proteins with characteristic presence of a highly conserved RNA binding motif first described in the mei2 gene of the fission yeast S. pombe. In silico analyses reveal nine mei2 -like genes in A. thaliana. They were grouped into four distinct clades, based on overall sequence similarity and subfamily-specific sequence elements. AML2 is a member of two sister clades of mei2-like gene family, AML1 through AML5, and belongs to the clade named ALM235. AML2 is expressed during early embryo development (heart and torpedo stage) and predominantly in vegetative organs; no significant accumulation was detected in floral apices."
"AT2G42040",221.589116201164,-2.00145123734923,0.273724434480062,-7.31192025714099,2.63351392648193e-13,6.74472177837872e-11,"AT2G42040",NA,NA
"AT2G14170",816.674168949962,-2.42845941016787,0.333828711041556,-7.27456725513814,3.47532701618842e-13,8.68622396997936e-11,"AT2G14170","ALDH6B2;MMSD","Arabidopsis thaliana methylmalonate-semialdehyde dehydrogenase"
"AT4G33150",459.097866392646,-2.72267540734876,0.374225764207457,-7.2754889367783,3.45167982391305e-13,8.68622396997936e-11,"AT4G33150","LKR;LKR/SDH;SDH",NA
