"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT1G73600",3305.75646442605,4.60464276679772,0.267375270291236,17.2216479174837,1.82710974188835e-66,3.79033915954739e-62,"AT1G73600","AtPMT3;DEG26;NMT;NMT3",NA
"AT4G33945",293.895644310328,2.21118455595439,0.162854002624185,13.5777108350054,5.42970376770368e-42,5.63196023305065e-38,"AT4G33945",NA,NA
"AT3G61220",508.279030027324,3.18452254450595,0.235701132010364,13.5108495973024,1.34954961349457e-41,9.33213557731497e-38,"AT3G61220","SDR1",NA
"AT5G48880",465.920362524194,2.65035215456117,0.219345964777295,12.0829765765334,1.29929496867143e-33,6.73846853127221e-30,"AT5G48880","KAT5;PKT1;PKT2","Encodes a peroxisomal 3-keto-acyl-CoA thiolase 2 precursor. EC2.3.1.16 thiolases. AT5G48880.1 is named PKT1 and AT5G48880.2 is named PKT2."
"AT3G01060",1259.54675648052,2.81874257700022,0.24005233858189,11.7422000287602,7.74452373704115e-32,2.67766908208198e-28,"AT3G01060",NA,NA
"AT4G09350",326.93136471726,3.64948271671835,0.345876486685432,10.5514044961301,5.0043364364052e-26,1.48307084818894e-22,"AT4G09350","CRRJ;DJC75;NdhT",NA
"AT3G17609",224.391061576559,4.20315667056705,0.410767795078722,10.2324396433307,1.41898873183803e-24,3.67961515524749e-21,"AT3G17609","HYH","Encodes a homolog of HY5 (HYH).  Involved in phyB signaling pathway."
"AT5G17230",3550.61397519923,1.90916214294935,0.19475801316399,9.80273988183378,1.09572412682111e-22,2.52564411232267e-19,"AT5G17230","PSY","Encodes phytoene synthase."
"AT2G24820",954.669936189041,1.52075379430632,0.161748804543795,9.401947659493,5.35622579533479e-21,1.1111490412422e-17,"AT2G24820","AtTic55;Tic55;TIC55-II",NA
"AT1G07010",737.122993350309,2.10519171498755,0.226512637494468,9.29392610617129,1.48699665717869e-20,2.37290351178245e-17,"AT1G07010","AtSLP1;SLP1",NA
"AT1G62180",2444.92092214951,3.99102343552392,0.438798195577361,9.09535060934472,9.42817768357131e-20,1.30391697363791e-16,"AT1G62180","APR2;APSR;ATAPR2;PRH;PRH43","encodes a adenosine 5'-phosphosulfate reductase, involved in sulfate assimilation. Is a major effect locus for natural variation of shoot sulfate content in Arabidopsis."
"AT1G10657",154.118778328118,2.96161965209195,0.328597771997912,9.01290241283431,2.00673822469988e-19,2.60186152946244e-16,"AT1G10657","DEG17",NA
"AT4G28740",456.553458892645,1.78694082156999,0.202469038455732,8.82574854505809,1.08730081809031e-18,1.25311419284908e-15,"AT4G28740",NA,NA
"AT3G55120",283.24911773355,3.58433875553579,0.408269217613522,8.779350979453,1.64420684349578e-18,1.79521426149053e-15,"AT3G55120","A11;AtCHI;CFI;CHI;TT5","Catalyzes the conversion of chalcones into flavanones. Required for the accumulation of purple anthocyanins in leaves and stems."
"AT1G26220",207.453947382354,4.1395050741063,0.476616630512459,8.68518807171185,3.78116257524369e-18,3.73524845825859e-15,"AT1G26220","GNAT1;SNAT2",NA
"AT4G26850",5197.02527612576,2.84436267498709,0.328304678895021,8.66378963760248,4.56335105496622e-18,4.08957520654716e-15,"AT4G26850","GGP;VTC2","Encodes a novel protein involved in ascorbate biosynthesis, which was shown to catalyze the transfer of GMP from GDP-galactose to a variety of hexose-1-phosphate acceptors. Recessive mutation has a reduced amount of vitamin C, lower level of non-photochemical quenching, and reduced rate of conversion of violaxanthin to zeaxanthin in high light."
"AT4G27030",533.023458211156,2.9457771689541,0.33995405147349,8.66522153857552,4.50635847862929e-18,4.08957520654716e-15,"AT4G27030","FAD4;FADA","Encodes an unusual palmitate desaturase that is highly substrate specific. It introduces a delta-3 trans double bond at palmitate at the sn-2 position of phosphatidylglycerol."
"AT5G02270",377.403032195649,2.79777019838506,0.325457697716922,8.59641734705109,8.22433107405403e-18,6.82454992525004e-15,"AT5G02270","ABCI20;ATNAP9;NAP9","member of NAP subfamily"
"AT4G12830",439.361491315888,2.34615936874434,0.273545163771037,8.57686290775778,9.74957067384802e-18,7.49092013440657e-15,"AT4G12830",NA,NA
"AT5G59750",472.465090770327,1.67265470270046,0.195739090014302,8.54532787793308,1.28171857496675e-17,9.4961613706019e-15,"AT5G59750","AtRIBA3;RIBA3",NA
"AT3G26570",3244.28875617197,2.44778875980387,0.287207367910003,8.52272271988124,1.55845576518912e-17,1.11483327064994e-14,"AT3G26570","ORF02;PHT2;1","low affinity phosphate transporter"
"AT3G22840",282.779390419772,7.06387172037221,0.831330574609799,8.49706715488935,1.94440955698598e-17,1.34455920865581e-14,"AT3G22840","ELIP;ELIP1","Encodes an early light-inducible protein."
"AT3G01550",463.408699142106,3.00505500504554,0.355570161070084,8.451370036231,2.8790418646607e-17,1.90238407311034e-14,"AT3G01550","ATPPT2;PPT2",NA
"AT4G04850",1083.11777103675,1.65056935515866,0.197703571283339,8.34870783792343,6.90138169910214e-17,4.33845949539012e-14,"AT4G04850","ATKEA3;KEA3","member of Putative potassium transporter family"
"AT5G38980",995.215563930951,2.52399781671326,0.302573825616405,8.34175861567455,7.31937453193716e-17,4.4658948430893e-14,"AT5G38980",NA,NA
"AT1G64780",619.501943684096,2.18062398202948,0.262894637740726,8.29466892428623,1.08888041891173e-16,6.45394979723538e-14,"AT1G64780","AMT1;2;ATAMT1;2","encodes an ammonium transporter protein believed to act as a high affinity transporter. It is expressed in the root, primarily in endodermal and cortical cells, and contributes to ammonium uptake in the root."
"AT5G15910",252.476386799679,1.85598756899421,0.223873752442951,8.29033126367577,1.12933498540652e-16,6.5077928534051e-14,"AT5G15910",NA,NA
"AT1G17050",749.63761451563,2.17392952334559,0.264232146424484,8.22734687191774,1.91405580406555e-16,1.01813045270102e-13,"AT1G17050","AtSPS2;SPS2","Encodes a protein with solanesyl diphosphate synthase activity."
"AT1G71810",344.834476930418,1.38520638272745,0.168823982514228,8.20503320735672,2.30527159573374e-16,1.19557148133741e-13,"AT1G71810",NA,NA
