"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT4G33945",293.895644310328,-3.11643553658222,0.201486600459606,-15.4672098763561,5.77566560813182e-54,1.22646259188679e-49,"AT4G33945",NA,NA
"AT3G25190",156.08793495622,-1.94792052736635,0.176069307682911,-11.0633735828304,1.88857810650248e-28,4.45599512128669e-25,"AT3G25190","AtVTL5;VTL5",NA
"AT5G67480",498.99298159277,-3.47454612798016,0.334292492388058,-10.393730661312,2.64788961776757e-25,4.68566133610787e-22,"AT5G67480","ATBT4;BT4","BTB and TAZ domain protein. Located in cytoplasm and expressed in fruit, flower and leaves."
"AT5G42900",105.77095994089,-6.84166401115376,0.703435683607216,-9.72606902178992,2.33440295423508e-22,2.75394704073233e-19,"AT5G42900","COR27",NA
"AT3G06850",689.670102050721,-3.467573388266,0.371768894554265,-9.32722839123878,1.08675503657178e-20,1.04896560007281e-17,"AT3G06850","BCE2;DIN3;LTA1","dihydrolipoamide branched chain acyltransferase"
"AT3G45300",698.149633352917,-2.87910408371271,0.310329146860219,-9.2775819250054,1.73368284591012e-20,1.60064153186528e-17,"AT3G45300","ATIVD;IVD;IVDH","Encodes isovaleryl-coenzyme a dehydrogenase.  Mutants have increases in 12 seed free amino acids, accumulation of seed homomethionine and 3-isovaleroyloxypropyl-glucosinolate, with a concomitant decrease in seed 3-benzoyloxypropyl-glucosinolate."
"AT1G03090",1469.56341701514,-3.79351082689747,0.439398650935046,-8.63341482461276,5.95470007166957e-18,3.24225784671547e-15,"AT1G03090","MCCA","MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion."
"AT3G59350",722.255149007892,-3.47730288523945,0.412514154268631,-8.4295359304811,3.47038710150496e-17,1.60203630653169e-14,"AT3G59350","CARK5;MAZ",NA
"AT2G26560",466.310021930013,-6.16407632203653,0.743694895599194,-8.28844780098986,1.1473589578015e-16,4.68541682094518e-14,"AT2G26560","PLA;PLA2A;PLAII;PLP2","Encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells. Plays a role in cell death and differentially affects the accumulation of oxylipins. Contributes to resistance to virus."
"AT1G15040",432.465637825616,-5.0329351217142,0.609721259340044,-8.25448521700194,1.52558359974656e-16,6.1124090076638e-14,"AT1G15040","GAT;GAT1_2.1",NA
"AT4G39660",501.410887501685,-1.70924558513409,0.207263336634705,-8.24673390328837,1.62782342950773e-16,6.40126491214753e-14,"AT4G39660","AGT2","alanine:glyoxylate aminotransferase 2 homolog (AGT2) mRNA,"
"AT5G07440",3312.21516056647,-2.85137373742144,0.355490788239507,-8.02094971726908,1.04930678663315e-15,3.37606509305377e-13,"AT5G07440","GDH2","Encodes the beta-subunit of the glutamate dehydrogenase. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells.;Encodes the alpha-subunit of the glutamate dehydrogenase. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells."
"AT3G58750",531.898081505289,-1.60539867013167,0.200311067441388,-8.01452805697526,1.10560720932041e-15,3.50411478954015e-13,"AT3G58750","CSY2","Encodes a peroxisomal citrate synthase that is expressed throughout seedling and shoot development."
"AT5G20230",1717.98050361491,-6.88141348944938,0.880511208145231,-7.8152480352236,5.48549029910522e-15,1.51278424027921e-12,"AT5G20230","ATBCB;BCB;SAG14","Al-stress-induced gene"
"AT2G14170",816.674168949962,-2.5949564437386,0.333230568348145,-7.7872701073075,6.84724708437692e-15,1.84052268147777e-12,"AT2G14170","ALDH6B2;MMSD","Arabidopsis thaliana methylmalonate-semialdehyde dehydrogenase"
