"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT3G61220",508.279030027324,3.36052459803301,0.234295748473761,14.3430882545842,1.17699106616909e-46,1.24967026450503e-42,"AT3G61220","SDR1",NA
"AT1G73600",3305.75646442605,3.5005692105487,0.267649547691237,13.0789281758361,4.34523948565337e-39,3.07570534926165e-35,"AT1G73600","AtPMT3;DEG26;NMT;NMT3",NA
"AT3G01060",1259.54675648052,3.05204779328421,0.239242221568574,12.757145345306,2.8443481791189e-37,1.50999333958974e-33,"AT3G01060",NA,NA
"AT4G09350",326.93136471726,4.36055669402684,0.342699190630751,12.7241522981162,4.34161058911512e-37,1.84388201719719e-33,"AT4G09350","CRRJ;DJC75;NdhT",NA
"AT5G59750",472.465090770327,2.31379425177291,0.192757488212841,12.0036542975598,3.39948384431715e-33,1.20313399056791e-29,"AT5G59750","AtRIBA3;RIBA3",NA
"AT1G07010",737.122993350309,2.65929828277489,0.224364096855012,11.8526017310754,2.08611716954254e-32,6.32838544217654e-29,"AT1G07010","AtSLP1;SLP1",NA
"AT2G24820",954.669936189041,1.83499199073034,0.160211912291353,11.4535302930116,2.25760048085291e-30,5.99251827636394e-27,"AT2G24820","AtTic55;Tic55;TIC55-II",NA
"AT4G28740",456.553458892645,2.20014778169478,0.199592329326163,11.0232081018475,2.9534177752631e-28,6.27158264577118e-25,"AT4G28740",NA,NA
"AT5G19850",384.760288858316,2.55059367769865,0.237366213537229,10.7453948044658,6.22948309013535e-27,1.2025733947184e-23,"AT5G19850",NA,NA
"AT4G26850",5197.02527612576,3.32182448923028,0.327956952190614,10.1288430296778,4.11489303759648e-24,6.72151951179702e-21,"AT4G26850","GGP;VTC2","Encodes a novel protein involved in ascorbate biosynthesis, which was shown to catalyze the transfer of GMP from GDP-galactose to a variety of hexose-1-phosphate acceptors. Recessive mutation has a reduced amount of vitamin C, lower level of non-photochemical quenching, and reduced rate of conversion of violaxanthin to zeaxanthin in high light."
"AT3G12320",479.393099421168,3.66074160551355,0.36215756709969,10.1081461167036,5.08371229830248e-24,7.7109021896038e-21,"AT3G12320","LNK3",NA
