"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT4G33945",293.895644310328,-2.88085512363371,0.276225874529198,-10.4293456525167,1.82138239519805e-25,3.68921004147364e-21,"AT4G33945",NA,NA
"AT1G58270",873.789824401314,-3.12189420331551,0.546597525541106,-5.71150445700424,1.1198176401552e-08,0.000113409531506718,"AT1G58270","ZW9","ZW9 mRNA, complete cds"
"AT1G35140",574.134084112129,-9.49263584949889,1.70868631222852,-5.55551699663253,2.76791278441491e-08,0.000186880244827747,"AT1G35140","EXL1;HUP46;PHI-1","At1g35140 (At1g35140/T32G9_32) mRNA, complete cds"
"AT5G65080",22.248904955418,-5.24234601183208,0.954548459054346,-5.49196424980412,3.97487866096307e-08,0.000201277918194517,"AT5G65080","AGL68;MAF5","Is upregulated during vernalization and regulates flowering time. Encodes MADS-domain protein. Two variants encoding proteins of 198 and 184 amino acids have been reported."
"AT3G21600",65.0018583623281,-2.09154667133686,0.454031276024476,-4.60661364488051,4.09279423099369e-06,0.00828995471487772,"AT3G21600",NA,NA
"AT3G47340",4229.47860310559,-6.27821175151848,1.35081403544722,-4.64772469545738,3.35616424412974e-06,0.00828995471487772,"AT3G47340","ASN1;AT-ASN1;DIN6","encodes a glutamine-dependent asparagine synthetase, the predicted ASN1 peptide contains a purF-type glutamine-binding domain, and  is expressed predominantly in shoot tissues, where light has a negative effect on its mRNA accumulation. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell."
"AT4G14010",77.4845273739714,-6.18704760179476,1.33964316559804,-4.61842956443761,3.86655180388514e-06,0.00828995471487772,"AT4G14010","RALFL32","Member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide."
"AT1G66760",397.358902971062,-6.17118620206503,1.39671338456368,-4.41836261488456,9.94514654441698e-06,0.0167865786047638,"AT1G66760",NA,NA
"AT3G29670",90.3291588110273,-2.03458138212576,0.458688932100952,-4.43564524830953,9.17969118420512e-06,0.0167865786047638,"AT3G29670","PMAT2",NA
"AT4G36850",1772.70385365334,-6.88682522768124,1.58731229537603,-4.33867062439013,1.43347171246504e-05,0.020739263954271,"AT4G36850",NA,NA
"AT5G08350",115.218250071381,-3.18760642699355,0.744897580394864,-4.27925463968325,1.87520229159128e-05,0.0244786449816883,"AT5G08350",NA,NA
"AT4G08950",946.587607048777,-4.3454095750653,1.03326709206055,-4.20550466423899,2.605002160458e-05,0.02956664242158,"AT4G08950","EXO",NA
"AT1G78820",457.151752003359,-1.71199587358638,0.414284215740521,-4.13241878048923,3.58965628218963e-05,0.0310726414769239,"AT1G78820",NA,NA
"AT4G01950",368.50110029556,-2.93339980552914,0.711852610891945,-4.12079658154742,3.77564682320967e-05,0.0310726414769239,"AT4G01950","ATGPAT3;GPAT3","Encodes a member of a family of proteins with glycerol-3-phosphate acyltransferase activity."
"AT5G41080",1268.98499076703,-5.70148957710977,1.39817471574042,-4.07780909847913,4.54620694001007e-05,0.0310726414769239,"AT5G41080","AtGDPD2;GDPD2",NA
"AT5G57560",2215.94557582414,-5.1483278310818,1.2615328924814,-4.08100958902083,4.48405049064683e-05,0.0310726414769239,"AT5G57560","AtXTH22;TCH4;XTH22","Encodes a cell wall-modifying enzyme, rapidly upregulated in response to environmental stimuli"
"AT5G66920",318.029801605959,-1.52275231969315,0.374960930760497,-4.0610959563299,4.88428899602075e-05,0.0319133140691614,"AT5G66920","sks17",NA
"AT5G24030",279.492517858497,-1.64650000615763,0.410480499231596,-4.01115280565049,6.04229852352293e-05,0.0359961048805756,"AT5G24030","SLAH3","Encodes a protein with ten predicted transmembrane helices. The SLAH3 protein has similarity to the SLAC1 protein involved in ion homeostasis in guard cells. Although it is not expressed in guard cells, it can complement an slac1-2 mutant suggesting that it performs a similar function. SLAH3:GFP localizes to the plasma membrane."
"AT1G03457",125.301676370453,-2.44261994575575,0.611705623203157,-3.9931297884187,6.52068529285787e-05,0.0366879112796767,"AT1G03457","AtBRN2;BRN2",NA
"AT5G51790",53.1401733836796,-5.75581302546151,1.44112667220044,-3.99396745372356,6.49767865908807e-05,0.0366879112796767,"AT5G51790",NA,NA
"AT1G62510",1239.15709680665,-2.65102729987933,0.671141291215526,-3.95002860735623,7.81418530548148e-05,0.0395838517761593,"AT1G62510",NA,NA
"AT2G24610",33.1543904248161,-3.4365111928402,0.871320843563615,-3.94402500321835,8.01252985841783e-05,0.0395838517761593,"AT2G24610","ATCNGC14;CNGC14","member of Cyclic nucleotide gated channel family"
"AT2G47860",73.5404896368345,-1.55751596588563,0.393255296184542,-3.96057212959883,7.47704030508934e-05,0.0395838517761593,"AT2G47860","SETH6",NA
"AT2G23690",77.1251628903813,-4.22624709894876,1.08412437332208,-3.89830466222087,9.68684956596876e-05,0.0456295669671389,"AT2G23690",NA,NA
"AT3G27170",314.857038722183,-2.19032716126674,0.565604145717711,-3.87254438965856,0.000107705051896129,0.0484792405812467,"AT3G27170","ATCLC-B;CLC-B","member of Anion channel protein family"
"AT3G55430",528.362319717557,-1.95727870912528,0.507607197672605,-3.85589234766463,0.000115308227015686,0.0496929391106961,"AT3G55430",NA,NA
