"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT1G54575",51.6462346314017,3.67868363736654,0.710367283998634,5.17856568036094,2.23598352947654e-07,0.000905796927790944,"AT1G54575",NA,NA
"AT2G08340",33.5695100250183,2.84426607927663,0.602429267139041,4.72132785444531,2.34309895362252e-06,0.00693010768854614,"AT2G08340",NA,NA
"AT4G09770",12.5901816517224,3.39027490862727,0.718755153541269,4.71687040005705,2.39500142284981e-06,0.00693010768854614,"AT4G09770",NA,NA
"AT3G08690",261.865081832442,1.03768427977,0.236141318461424,4.39433592787159,1.11111884887804e-05,0.0173120863723267,"AT3G08690","ATUBC11;UBC11",NA
"AT1G51860",84.2141751974683,2.54681999378095,0.596107257439356,4.27241903532779,1.93363771763522e-05,0.0244786449816883,"AT1G51860",NA,NA
"AT3G09940",128.118359914346,2.52906111036267,0.606426844340823,4.17043066936082,3.04024540173064e-05,0.02956664242158,"AT3G09940","AtMDAR3;MDAR3","Encodes a member of the monodehydroascorbate reductase gene family. Critical for a mutualistic symbiosis between the host Arabidopsis and the root colonizing fungus Piriformospora indica."
"AT5G11860",173.93789481545,1.65444893155949,0.39668165260905,4.17072209081985,3.03635973046651e-05,0.02956664242158,"AT5G11860","SSP5","Encodes a SCP1-like small phosphatase (SSP).  Three SSPs form a unique group with long N-terminal extensions: AT5G46410 (SSP4), AT5G11860 (SSP5), AT4G18140 (SSP4b). SSP4 and SSP4b were localized exclusively in the nuclei, whereas SSP5 accumulated in both nuclei and cytoplasm. All three SSPs encodes active CTD phosphatases like animal SCP1 family proteins, with distinct substrate specificities: SSP4 and SSP4b could dephosphorylate both Ser2-PO(4) and Ser5-PO(4) of CTD, whereas SSP5 dephosphorylated only Ser5-PO(4)."
"AT5G60460",88.1458455817427,1.30762634890857,0.312122620645495,4.18946357109362,2.79614663926088e-05,0.02956664242158,"AT5G60460",NA,NA
"AT1G28480",16.2352569280882,3.52683488069119,0.859732697737932,4.10224583753851,4.09159200348949e-05,0.0310726414769239,"AT1G28480","GRX480;GRXC9;ROXY19","Encodes GRX480, a member of the glutaredoxin family that regulates protein redox state.  GRX480 interacts with TGA factors and suppresses JA-responsive PDF1.2 transcription.  GRX480 transcription is SA-inducible and requires NPR1.  Maybe involved in SA/JA cross-talk."
"AT3G22600",493.784684642273,2.52604890811583,0.619895327847521,4.07496039192148,4.60221794276829e-05,0.0310726414769239,"AT3G22600","LTPG5",NA
"AT4G16260",212.706344996058,2.62983254856156,0.644781486141854,4.07864153218412,4.52996215380445e-05,0.0310726414769239,"AT4G16260",NA,NA
"AT5G16570",209.235609785569,1.56395313168171,0.380336119921113,4.11202893905027,3.9219712315755e-05,0.0310726414769239,"AT5G16570","GLN1;4","Encodes a cytosolic glutamine synthetase, the enzyme has high affinity with substrate ammonium"
"AT5G65040",20.5831664792556,2.90051205140163,0.704964083245731,4.11441110311232,3.88169112355406e-05,0.0310726414769239,"AT5G65040","IRM1",NA
"AT1G45145",435.084590240981,1.79290017285146,0.44389174022101,4.03904828677098,5.36685170251813e-05,0.0339704941357827,"AT1G45145","ATH5;ATTRX5;LIV1;TRX-h5;TRX5","encodes a cytosolic thioredoxin that reduces disulfide bridges of target proteins by the reversible formation of a disulfide bridge between two neighboring Cys residues present in the active site. Thioredoxins have been found to regulate a variety of biological reactions in prokaryotic and eukaryotic cells."
"AT5G05790",61.6271510690969,1.26761385631908,0.319188764352794,3.97136114389668,7.14631495012835e-05,0.0391212457607702,"AT5G05790",NA,NA
"AT1G07128",18.7400037691311,6.44860124887355,1.6345228721832,3.94524993110697,7.97167872263081e-05,0.0395838517761593,"AT1G07128",NA,NA
"AT1G80830",374.438833363805,1.25058394671034,0.318317573906174,3.92873045419403,8.53954910434363e-05,0.0411829921686858,"AT1G80830","ATNRAMP1;NRAMP1;PMIT1","Thought to be involved in iron homeostasis. Induced in leaves in response to iron deficiency. Transgenic plants accumulate toxic levels of iron. Gene complements yeast iron uptake mutants."
"AT5G38780",7.81609687748564,5.04744802167542,1.29866942257392,3.88663037254818,0.000101645346735385,0.046791511321028,"AT5G38780",NA,NA
"AT2G27660",75.1941152009784,1.83091611412489,0.475488656010972,3.85059893854259,0.000117829317614198,0.0497215172557413,"AT2G27660",NA,NA
